RIBO-HELA-R1	RIBO-HELA-R2	RIBO-HELA-R3	RIBO-RRNA-KO-R1	RIBO-RRNA-KO-R2	RIBO-RRNA-KO-R3
ENSG00000000003.14	346	179	147	160	184	176
ENSG00000000005.6	0	0	0	0	0	0
ENSG00000000419.12	723	522	374	377	401	437
ENSG00000000457.14	100	58	62	43	41	48
ENSG00000000460.17	180	93	101	97	113	151
ENSG00000000938.13	0	0	0	0	0	0
ENSG00000000971.15	4187	2801	2638	2251	2501	2950
ENSG00000001036.13	674	359	316	377	386	430
ENSG00000001084.12	305	222	192	240	217	204
ENSG00000001167.14	178	157	107	119	101	100
ENSG00000001460.18	31	17	14	13	11	13
ENSG00000001461.17	170	125	99	137	125	128
ENSG00000001497.16	1461	903	870	777	874	838
ENSG00000001561.7	0	0	0	0	0	0
ENSG00000001617.12	381	260	211	482	531	581
ENSG00000001626.15	0	0	0	0	0	0
ENSG00000001629.10	117	137	140	100	137	105
ENSG00000001630.17	2481	1636	1508	1942	1891	1938
ENSG00000001631.15	92	89	129	24	87	50
ENSG00000002016.17	49	38	40	38	27	32
ENSG00000002330.13	90	77	51	77	75	83
ENSG00000002549.12	393	206	185	244	227	254
ENSG00000002586.20	929	582	568	444	611	549
ENSG00000002587.10	8	7	0	7	3	3
ENSG00000002726.20	2	0	0	0	0	1
ENSG00000002745.13	2	2	0	2	3	2
ENSG00000002746.15	12	7	0	7	11	9
ENSG00000002822.15	255	165	159	151	202	162
ENSG00000002834.18	913	680	735	742	736	679
ENSG00000002919.14	63	57	52	39	25	41
ENSG00000002933.9	0	0	0	0	0	0
ENSG00000003056.8	737	505	484	409	398	432
ENSG00000003096.14	285	190	205	133	118	135
ENSG00000003137.8	9	6	6	17	18	25
ENSG00000003147.19	39	33	39	31	31	26
ENSG00000003249.13	20	13	12	16	17	18
ENSG00000003393.15	60	39	38	47	32	48
ENSG00000003400.14	62	35	24	23	23	31
ENSG00000003402.20	162	94	109	110	103	83
ENSG00000003436.16	1264	755	752	520	512	552
ENSG00000003509.16	126	98	103	75	75	80
ENSG00000003756.16	331	221	238	216	249	207
ENSG00000003987.14	8	11	5	16	13	11
ENSG00000003989.17	3828	2197	2370	2668	3059	3183
ENSG00000004059.11	525	240	247	290	245	304
ENSG00000004139.14	33	13	7	6	8	4
ENSG00000004142.12	670	367	466	415	331	429
ENSG00000004399.12	176	129	155	183	168	148
ENSG00000004455.16	1612	973	897	915	880	894
ENSG00000004468.13	0	1	1	0	0	0
ENSG00000004478.8	1697	1115	1060	1068	1097	1117
ENSG00000004487.16	1770	993	1001	762	726	842
ENSG00000004534.15	165	150	105	98	93	82
ENSG00000004660.14	174	139	120	143	108	129
ENSG00000004700.16	529	262	244	206	282	230
ENSG00000004766.17	210	116	74	58	74	72
ENSG00000004776.13	3	1	0	1	4	6
ENSG00000004777.18	0	7	5	6	1	7
ENSG00000004779.10	1198	663	628	590	571	650
ENSG00000004799.8	1467	817	779	1484	1508	1671
ENSG00000004809.14	0	0	0	0	0	0
ENSG00000004838.14	0	0	0	0	2	0
ENSG00000004846.16	0	0	0	0	0	1
ENSG00000004848.8	0	0	0	0	0	0
ENSG00000004864.13	463	266	229	244	232	282
ENSG00000004866.20	238	150	146	122	120	119
ENSG00000004897.12	595	331	336	238	230	213
ENSG00000004939.15	4	8	3	0	2	1
ENSG00000004948.14	0	0	0	0	0	0
ENSG00000004961.15	647	414	404	360	386	405
ENSG00000004975.12	306	167	204	232	198	202
ENSG00000005001.10	3	1	2	5	0	0
ENSG00000005007.12	886	528	558	643	559	690
ENSG00000005020.13	147	104	85	62	51	55
ENSG00000005022.6	4845	3133	3080	3161	3158	3514
ENSG00000005059.16	72	78	61	68	82	76
ENSG00000005073.5	39	28	52	21	33	26
ENSG00000005075.15	221	185	168	109	124	89
ENSG00000005100.13	447	293	267	282	257	294
ENSG00000005102.13	37	21	24	12	7	12
ENSG00000005108.16	0	0	0	0	0	0
ENSG00000005156.11	324	177	172	170	181	223
ENSG00000005175.10	556	292	290	189	159	171
ENSG00000005187.12	4	3	5	4	2	3
ENSG00000005189.19	100	76	51	76	64	63
ENSG00000005194.15	855	455	448	370	404	473
ENSG00000005206.17	105	70	64	60	89	83
ENSG00000005238.19	16	12	13	8	14	13
ENSG00000005243.10	0	2	3	1	0	0
ENSG00000005249.13	1	0	0	0	0	0
ENSG00000005302.18	199	123	113	128	107	104
ENSG00000005339.14	566	409	359	279	312	279
ENSG00000005379.17	0	0	0	0	0	0
ENSG00000005381.7	1	0	0	0	0	0
ENSG00000005421.8	0	0	0	1	0	2
ENSG00000005436.13	157	136	97	100	122	108
ENSG00000005448.16	300	249	224	242	250	266
ENSG00000005469.11	33	13	7	12	26	9
ENSG00000005471.17	0	0	0	0	0	0
ENSG00000005483.20	282	203	185	124	136	114
ENSG00000005486.17	453	255	248	350	253	303
ENSG00000005513.10	0	0	1	0	0	0
ENSG00000005700.15	445	250	233	169	215	246
ENSG00000005801.18	123	92	79	55	64	54
ENSG00000005810.18	382	293	313	201	226	228
ENSG00000005812.11	340	229	188	170	216	203
ENSG00000005844.17	1	0	0	0	0	0
ENSG00000005882.11	267	119	128	124	107	156
ENSG00000005884.18	1250	739	754	969	914	1048
ENSG00000005889.15	338	198	200	159	188	143
ENSG00000005893.15	789	467	472	454	359	419
ENSG00000005961.18	0	0	0	3	1	0
ENSG00000005981.13	1	0	0	3	4	3
ENSG00000006007.12	189	114	128	140	141	137
ENSG00000006015.17	162	144	126	142	137	169
ENSG00000006016.11	6	6	6	3	5	6
ENSG00000006025.12	32	24	10	26	27	25
ENSG00000006042.12	0	1	1	0	1	3
ENSG00000006047.13	0	0	0	0	0	0
ENSG00000006059.3	0	0	0	1	0	1
ENSG00000006062.16	151	90	67	77	68	76
ENSG00000006071.13	2	0	0	0	2	3
ENSG00000006116.3	0	0	0	1	0	0
ENSG00000006118.14	253	149	167	240	201	232
ENSG00000006125.18	1458	902	885	771	815	895
ENSG00000006128.12	0	0	0	0	0	0
ENSG00000006194.10	111	56	85	66	59	79
ENSG00000006210.7	0	0	0	0	0	0
ENSG00000006282.21	58	37	46	52	56	55
ENSG00000006283.18	0	0	0	1	1	0
ENSG00000006327.13	417	307	309	495	389	387
ENSG00000006377.11	0	0	0	0	0	0
ENSG00000006432.15	21	27	22	18	32	20
ENSG00000006451.8	353	262	203	195	188	156
ENSG00000006453.14	242	158	157	125	123	175
ENSG00000006459.11	20	7	17	14	15	18
ENSG00000006468.14	0	2	0	0	0	0
ENSG00000006530.17	168	92	142	116	71	112
ENSG00000006534.16	618	362	347	321	334	371
ENSG00000006555.11	0	0	0	0	0	0
ENSG00000006576.16	111	62	63	52	72	63
ENSG00000006606.8	39	22	17	17	23	22
ENSG00000006607.14	81	65	40	61	34	45
ENSG00000006611.16	125	86	89	97	91	123
ENSG00000006625.18	500	355	249	265	262	279
ENSG00000006634.8	273	236	162	90	91	88
ENSG00000006638.11	41	24	22	32	27	36
ENSG00000006652.14	210	112	106	124	97	132
ENSG00000006659.13	0	0	0	0	0	0
ENSG00000006695.11	79	52	86	63	80	47
ENSG00000006704.10	340	233	216	261	233	294
ENSG00000006712.15	701	447	446	438	534	409
ENSG00000006715.16	254	166	122	98	98	130
ENSG00000006740.17	0	0	0	0	1	0
ENSG00000006744.19	849	395	475	475	426	471
ENSG00000006747.15	9	16	24	8	3	3
ENSG00000006756.16	57	33	36	38	26	45
ENSG00000006757.12	109	89	88	74	85	59
ENSG00000006788.14	0	0	2	0	2	0
ENSG00000006831.10	521	308	358	300	217	277
ENSG00000006837.12	7	10	14	8	3	8
ENSG00000007001.12	0	0	0	0	0	1
