RNA-HELA-R1	RNA-HELA-R2	RNA-HELA-R3	RNA-RRNA-KO-R1	RNA-RRNA-KO-R2	RNA-RRNA-KO-R3
ENSG00000000003.14	1497	1380	1592	1375	1546	1348
ENSG00000000005.6	0	0	0	0	0	0
ENSG00000000419.12	1405	1380	1603	1207	1418	1258
ENSG00000000457.14	239	256	228	184	268	219
ENSG00000000460.17	617	574	599	455	579	465
ENSG00000000938.13	0	0	0	0	0	1
ENSG00000000971.15	9844	9269	10820	9394	11600	9171
ENSG00000001036.13	2402	2098	2245	2085	2533	1794
ENSG00000001084.12	1527	1504	1645	1507	1794	1323
ENSG00000001167.14	836	839	879	612	759	466
ENSG00000001460.18	83	83	63	45	63	34
ENSG00000001461.17	1602	1499	1861	1558	1756	991
ENSG00000001497.16	1786	1817	2377	1918	2157	1514
ENSG00000001561.7	0	0	0	0	0	0
ENSG00000001617.12	905	940	1186	1301	1363	682
ENSG00000001626.15	2	6	4	3	3	0
ENSG00000001629.10	2672	2523	2745	2249	2791	1847
ENSG00000001630.17	10537	9463	11433	11647	14103	12153
ENSG00000001631.15	1136	1097	997	729	967	702
ENSG00000002016.17	223	190	257	217	212	196
ENSG00000002330.13	169	186	242	269	311	314
ENSG00000002549.12	635	654	812	671	925	676
ENSG00000002586.20	1465	1380	1702	1209	1329	744
ENSG00000002587.10	40	45	23	27	30	22
ENSG00000002726.20	9	0	6	6	2	6
ENSG00000002745.13	4	6	2	16	7	10
ENSG00000002746.15	29	37	34	51	49	46
ENSG00000002822.15	194	234	318	226	276	191
ENSG00000002834.18	1727	1726	2002	1833	2070	1416
ENSG00000002919.14	205	170	306	250	251	157
ENSG00000002933.9	0	0	0	0	0	0
ENSG00000003056.8	2324	2004	2504	2130	2365	1905
ENSG00000003096.14	1168	1090	1412	877	1018	743
ENSG00000003137.8	76	82	107	100	102	46
ENSG00000003147.19	159	156	170	145	183	147
ENSG00000003249.13	97	105	110	107	145	63
ENSG00000003393.15	323	318	364	359	417	316
ENSG00000003400.14	199	162	194	209	216	185
ENSG00000003402.20	1092	958	1157	949	1107	775
ENSG00000003436.16	2987	2679	2868	1901	2527	1963
ENSG00000003509.16	425	395	428	378	422	355
ENSG00000003756.16	820	786	1095	910	1046	862
ENSG00000003987.14	62	54	73	150	142	112
ENSG00000003989.17	27570	25032	28898	33749	40232	31430
ENSG00000004059.11	541	468	627	632	640	508
ENSG00000004139.14	51	54	81	69	72	49
ENSG00000004142.12	1398	1318	1614	1634	1850	1418
ENSG00000004399.12	666	622	779	872	912	609
ENSG00000004455.16	4137	3868	4315	3566	4092	3050
ENSG00000004468.13	3	17	18	9	10	9
ENSG00000004478.8	2442	2359	2707	2567	2980	2136
ENSG00000004487.16	3988	3645	4482	3724	4293	3454
ENSG00000004534.15	603	625	808	590	662	417
ENSG00000004660.14	317	355	426	406	423	268
ENSG00000004700.16	1956	1799	1916	1449	1866	1555
ENSG00000004766.17	769	682	850	644	832	699
ENSG00000004776.13	3	6	4	0	4	0
ENSG00000004777.18	9	17	22	17	6	20
ENSG00000004779.10	1384	1301	1904	1691	2015	1590
ENSG00000004799.8	5900	5382	5916	9693	12322	8527
ENSG00000004809.14	0	0	0	0	0	0
ENSG00000004838.14	1	4	1	2	4	2
ENSG00000004846.16	12	10	15	23	21	11
ENSG00000004848.8	0	0	0	0	0	0
ENSG00000004864.13	1417	1294	1694	1314	1748	1175
ENSG00000004866.20	912	879	1095	805	873	678
ENSG00000004897.12	3157	2909	3233	2170	2846	1793
ENSG00000004939.15	159	121	94	75	79	79
ENSG00000004948.14	1	0	0	0	0	0
ENSG00000004961.15	1079	1127	1069	948	1013	526
ENSG00000004975.12	762	750	946	912	1021	761
ENSG00000005001.10	2	2	0	0	0	0
ENSG00000005007.12	1248	1187	1652	1461	1601	1091
ENSG00000005020.13	426	387	434	348	455	252
ENSG00000005022.6	8607	8010	9476	8384	9533	4559
ENSG00000005059.16	434	464	475	360	506	330
ENSG00000005073.5	119	104	149	105	119	59
ENSG00000005075.15	587	605	640	412	490	274
ENSG00000005100.13	2105	1973	2409	2028	2218	1526
ENSG00000005102.13	58	64	73	19	32	25
ENSG00000005108.16	0	0	0	0	0	0
ENSG00000005156.11	1115	1015	1244	1078	1122	835
ENSG00000005175.10	1223	1201	1257	779	1066	655
ENSG00000005187.12	8	10	9	4	3	5
ENSG00000005189.19	295	270	345	294	365	267
ENSG00000005194.15	835	811	956	802	896	762
ENSG00000005206.17	232	176	235	242	206	217
ENSG00000005238.19	64	50	69	89	81	80
ENSG00000005243.10	4	4	10	1	1	5
ENSG00000005249.13	0	0	1	0	0	0
ENSG00000005302.18	876	770	789	567	749	545
ENSG00000005339.14	1513	1433	1580	1170	1321	695
ENSG00000005379.17	0	0	0	0	0	0
ENSG00000005381.7	0	0	0	0	0	0
ENSG00000005421.8	9	1	10	8	4	5
ENSG00000005436.13	981	895	1050	983	1094	768
ENSG00000005448.16	515	506	684	747	711	623
ENSG00000005469.11	126	88	117	97	88	65
ENSG00000005471.17	0	0	1	0	2	3
ENSG00000005483.20	2225	2107	2277	1633	2002	1175
ENSG00000005486.17	641	553	760	697	756	568
ENSG00000005513.10	0	0	0	0	0	0
ENSG00000005700.15	4125	3952	4286	3532	4228	3097
ENSG00000005801.18	574	527	610	373	503	348
ENSG00000005810.18	4130	4016	4730	4044	4685	3120
ENSG00000005812.11	2493	2375	2522	1726	2121	1443
ENSG00000005844.17	23	31	19	39	22	18
ENSG00000005882.11	334	288	387	313	316	210
ENSG00000005884.18	1667	1630	2241	2461	2687	2280
ENSG00000005889.15	4828	4532	5496	4274	5034	3686
ENSG00000005893.15	3341	3083	3483	2536	3123	1918
ENSG00000005961.18	1	1	3	1	2	2
ENSG00000005981.13	20	21	16	5	21	18
ENSG00000006007.12	2160	2055	2255	1767	2192	1610
ENSG00000006015.17	234	251	291	313	356	301
ENSG00000006016.11	9	9	8	1	12	2
ENSG00000006025.12	54	63	59	94	64	85
ENSG00000006042.12	52	40	45	47	51	41
ENSG00000006047.13	1	0	0	1	0	0
ENSG00000006059.3	0	0	0	0	0	0
ENSG00000006062.16	192	163	217	151	157	72
ENSG00000006071.13	7	11	11	3	5	3
ENSG00000006116.3	0	0	1	0	0	0
ENSG00000006118.14	337	302	459	505	529	386
ENSG00000006125.18	4962	4851	5540	4783	5506	2715
ENSG00000006128.12	0	0	0	0	0	0
ENSG00000006194.10	557	543	651	567	607	500
ENSG00000006210.7	47	22	26	25	24	35
ENSG00000006282.21	235	253	313	293	302	247
ENSG00000006283.18	5	0	5	0	1	3
ENSG00000006327.13	659	576	852	621	672	616
ENSG00000006377.11	0	0	0	0	0	0
ENSG00000006432.15	330	323	345	321	446	331
ENSG00000006451.8	907	891	1037	814	969	497
ENSG00000006453.14	599	562	664	539	630	357
ENSG00000006459.11	299	256	379	286	351	227
ENSG00000006468.14	0	0	0	0	0	0
ENSG00000006530.17	455	404	494	399	467	376
ENSG00000006534.16	1196	1133	1404	1312	1379	858
ENSG00000006555.11	8	5	4	1	6	8
ENSG00000006576.16	994	960	1003	801	1057	622
ENSG00000006606.8	30	23	25	36	45	33
ENSG00000006607.14	828	739	870	786	933	674
ENSG00000006611.16	354	289	387	407	470	343
ENSG00000006625.18	1871	1724	1780	1431	1767	1316
ENSG00000006634.8	1369	1200	1180	869	1078	748
ENSG00000006638.11	58	68	86	83	70	68
ENSG00000006652.14	767	696	780	526	688	504
ENSG00000006659.13	0	0	0	0	0	0
ENSG00000006695.11	400	372	441	375	458	335
ENSG00000006704.10	797	787	1128	1025	1038	523
ENSG00000006712.15	705	663	990	890	895	308
ENSG00000006715.16	1098	953	1259	1146	1326	1100
ENSG00000006740.17	0	0	0	0	0	0
ENSG00000006744.19	1391	1312	1650	1368	1654	1100
ENSG00000006747.15	71	81	82	30	49	37
ENSG00000006756.16	284	262	313	319	299	268
ENSG00000006757.12	502	443	519	461	494	378
ENSG00000006788.14	0	0	0	0	0	1
ENSG00000006831.10	2719	2474	3094	3063	3537	2490
ENSG00000006837.12	37	42	53	37	35	26
ENSG00000007001.12	1	2	1	1	3	0
ENSG00000007038.11	1766	1617	1952	1703	1861	1177
ENSG00000007047.15	81	102	96	83	110	54
ENSG00000007062.11	4	3	6	8	3	12
ENSG00000007080.11	609	679	821	619	644	144
ENSG00000007129.18	0	0	0	0	0	0
ENSG00000007168.13	3353	3108	3881	2704	3319	2189
ENSG00000007171.17	1	0	0	0	1	0
ENSG00000007174.18	0	0	0	0	1	0
ENSG00000007202.15	8197	7786	9140	8693	10000	5823
ENSG00000007216.14	2	0	1	1	0	0
ENSG00000007237.18	144	139	170	142	116	131
ENSG00000007255.10	35	40	68	92	71	54
ENSG00000007264.15	732	659	965	828	864	693
ENSG00000007306.15	0	0	0	0	0	0
ENSG00000007312.12	1	0	0	0	0	0
ENSG00000007314.12	2	2	3	3	8	2
ENSG00000007341.19	511	488	546	420	561	413
ENSG00000007350.17	0	0	0	0	0	0
ENSG00000007372.22	207	218	218	204	212	124
ENSG00000007376.8	313	279	310	364	351	297
ENSG00000007384.15	74	71	101	111	134	89
ENSG00000007392.16	319	316	369	294	332	213
ENSG00000007402.11	0	1	0	0	0	0
ENSG00000007516.13	2	3	1	0	0	0
ENSG00000007520.4	438	472	655	628	652	412
ENSG00000007541.16	509	439	583	731	700	530
ENSG00000007545.15	352	379	501	437	455	291
ENSG00000007866.21	104	113	168	135	118	99
ENSG00000007908.16	0	0	0	0	0	0
ENSG00000007923.16	1049	988	1430	1229	1275	887
ENSG00000007933.13	0	0	0	0	0	0
ENSG00000007944.15	199	188	229	156	198	141
ENSG00000007952.18	4	2	3	8	1	2
ENSG00000007968.7	832	729	944	870	1071	822
ENSG00000008018.9	2072	2086	2764	2544	2796	2508
ENSG00000008056.14	1	1	0	0	4	3
ENSG00000008083.14	500	497	561	424	531	283
ENSG00000008086.11	546	538	617	549	716	479
ENSG00000008118.10	0	0	0	0	1	0
ENSG00000008128.23	167	155	105	173	97	35
ENSG00000008130.15	1256	1305	1776	1354	1613	1001
ENSG00000008196.13	0	0	0	0	0	0
ENSG00000008197.4	0	0	0	0	0	0
ENSG00000008226.19	0	3	1	1	0	0
ENSG00000008256.16	648	582	634	598	682	350
ENSG00000008277.14	172	150	170	134	185	136
ENSG00000008282.8	1131	1127	1387	952	1161	789
ENSG00000008283.16	532	501	679	715	747	553
ENSG00000008294.21	3165	2660	3055	2467	3071	2139
ENSG00000008300.17	267	233	312	249	281	209
ENSG00000008311.15	62	63	57	38	37	40
ENSG00000008323.15	13	6	13	7	15	9
ENSG00000008324.11	282	248	343	291	354	263
ENSG00000008382.15	67	83	109	115	105	83
ENSG00000008394.13	981	972	1173	870	1088	364
ENSG00000008405.12	387	395	534	372	468	286
ENSG00000008438.5	0	0	0	0	0	0
ENSG00000008441.16	83	79	105	72	70	56
ENSG00000008513.16	571	431	555	427	443	371
ENSG00000008516.17	2	0	0	1	1	0
ENSG00000008517.16	2031	802	467	1008	1131	2112
ENSG00000008710.19	1247	1136	1605	1664	1689	1233
ENSG00000008735.14	17	27	14	21	18	6
ENSG00000008838.20	635	614	761	677	722	495
ENSG00000008853.16	1050	984	1210	1272	1312	577
ENSG00000008869.12	836	834	989	845	933	749
ENSG00000008952.17	3299	3334	3401	2308	3009	1535
ENSG00000008988.9	20585	19433	23692	20460	24596	20545
ENSG00000009307.16	24522	22593	25327	20725	25508	17571
ENSG00000009335.18	4123	3658	4517	3852	4556	3198
ENSG00000009413.15	2571	2384	2476	1742	2250	1567
ENSG00000009694.13	3	3	5	0	2	0
ENSG00000009709.12	0	0	0	0	0	0
ENSG00000009724.16	0	0	2	2	0	0
ENSG00000009765.14	25	34	21	12	31	11
ENSG00000009780.15	364	307	336	276	327	268
ENSG00000009790.15	0	0	0	0	0	0
ENSG00000009830.11	243	220	279	202	275	191
ENSG00000009844.16	1089	911	978	683	940	586
ENSG00000009950.16	47	22	36	40	41	27
ENSG00000009954.11	5185	5046	5786	4929	5684	3314
ENSG00000010017.13	1657	1558	1680	1443	1869	1279
ENSG00000010030.14	5	0	1	0	1	0
ENSG00000010072.16	467	489	517	398	481	366
ENSG00000010165.20	657	689	841	692	818	418
ENSG00000010219.13	142	141	143	132	150	97
ENSG00000010244.18	3950	3781	4033	2908	3634	2588
ENSG00000010256.11	3272	3153	4414	4504	4974	3843
ENSG00000010270.13	188	150	260	211	204	163
ENSG00000010278.14	2223	2195	2571	1983	2151	1731
ENSG00000010282.14	0	0	0	0	0	0
ENSG00000010292.13	5542	5329	6821	6261	6666	3496
ENSG00000010295.19	0	9	12	9	6	7
ENSG00000010310.9	10	10	10	7	4	3
ENSG00000010318.21	36	36	58	40	57	49
ENSG00000010319.6	56	60	72	82	64	54
ENSG00000010322.16	260	262	356	294	292	217
ENSG00000010327.10	2	1	2	3	3	0
ENSG00000010361.13	6	3	0	4	3	1
ENSG00000010379.16	0	0	0	0	0	0
ENSG00000010404.18	271	302	261	210	223	161
ENSG00000010438.16	0	1	0	0	1	0
