baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000000003.14	190.333068079949	-0.00312158227672166	0.139651711590645	0.974399078427303	0.992247883976065
ENSG00000000005.6	0	NA	NA	NA	NA
ENSG00000000419.12	458.360532059031	-0.0591505398618695	0.117188493494569	0.532897729652359	0.787181329188207
ENSG00000000457.14	56.1458062325377	-0.141773430825559	0.210570000950621	0.18328786531966	0.461286831133712
ENSG00000000460.17	119.767542060175	0.137289349965852	0.18107251996465	0.217672676111063	0.50646198567289
ENSG00000000938.13	0	NA	NA	NA	NA
ENSG00000000971.15	2820.68066307191	-0.00195975268451832	0.0851008833634914	0.973007713100236	0.991850691546466
ENSG00000001036.13	410.504832589914	0.124263423693109	0.125942428048025	0.215662271809694	0.504477482532939
ENSG00000001084.12	226.90347876071	0.121799868505838	0.140397743857367	0.24397450445892	0.53574087073446
ENSG00000001167.14	124.207774818942	-0.0725678027320685	0.159021114102358	0.479242038735499	0.753504343761646
ENSG00000001460.18	15.596861608346	-0.0434837050880801	0.195134929961042	0.493756289797596	0.764152128063317
ENSG00000001461.17	129.196600991726	0.167389515482929	0.178119264264352	0.148490244693637	0.407922484117011
ENSG00000001497.16	926.715573677126	-0.0387938484615436	0.0896290004289504	0.627204418749452	0.841939059590247
ENSG00000001561.7	0	NA	NA	NA	NA
ENSG00000001617.12	415.905682704054	1.2001420689475	0.139182512784767	4.11715745929885e-19	3.45081135973233e-16
ENSG00000001626.15	0	NA	NA	NA	NA
ENSG00000001629.10	124.012178786884	0.0162105075613882	0.160799296228404	0.867768032014572	0.953177223475594
ENSG00000001630.17	1878.82989835229	0.338805710850251	0.0783185820874386	3.84755942529281e-06	0.000140681233214733
ENSG00000001631.15	77.9451657712376	-0.190433432167617	0.278846508528749	0.0748270804445935	0.277569046354555
ENSG00000002016.17	36.7575726976636	-0.0203662118793167	0.17857200892918	0.803552232087918	0.927097111481359
ENSG00000002330.13	75.2274925594197	0.175582502993382	0.218306862833809	0.1313536661246	0.381051529843888
ENSG00000002549.12	244.25776441888	0.156799028404725	0.148054682097093	0.151783451109459	0.413765731100006
ENSG00000002586.20	597.385971395343	-0.0324074347467474	0.110609469112295	0.724093218963435	0.892236478495312
ENSG00000002587.10	4.46728132200698	0.00479383496697666	0.197573516452491	0.887165148356607	NA
ENSG00000002726.20	0.40160009431644	-0.000985527145231323	0.200066061258882	0.937886331571237	NA
ENSG00000002745.13	1.85189909405709	0.0161213475597937	0.199932282590552	0.490484622202298	NA
ENSG00000002746.15	7.48912634711545	0.0414244843650247	0.202124974954815	0.320710351421694	NA
ENSG00000002822.15	179.172256567357	0.0850141613982621	0.146601999366557	0.414641080576601	0.700581720303644
ENSG00000002834.18	742.920677482658	0.145905085053323	0.109686104421371	0.115386418579137	0.35187529158642
ENSG00000002919.14	45.1318261654532	-0.113718199983869	0.207784641947833	0.232619807461038	0.522280119945492
ENSG00000002933.9	0	NA	NA	NA	NA
ENSG00000003056.8	480.715741883114	-0.126476942651534	0.108418269240931	0.168107262200852	0.43988874374171
