Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
RIBO-HELA-R1.0-raw.fastq - illumina_universal_adapter	(1, 32.7926934146278)	(2, 32.95544231235459)	(3, 32.96125595073511)	(4, 32.965845563150296)	(5, 32.97287158858047)	(6, 32.97776963226109)	(7, 32.98375203491892)	(8, 32.99291380137577)	(9, 33.00277002313467)	(10, 33.01433716549805)	(11, 33.02482382852277)	(12, 33.0444761376429)	(13, 33.07593612671707)	(14, 33.110455210794925)	(15, 33.18003846816816)	(16, 33.283101066485486)	(17, 33.55201239373815)	(18, 33.725362403827155)	(19, 33.9244344175617)	(20, 34.143449713308286)	(21, 34.41381202538199)	(22, 34.617413517134054)	(23, 34.87096341551274)	(24, 35.10298713934734)	(25, 35.635323984930395)	(26, 35.95981501417795)	(27, 36.508114632611615)	(28, 37.375060604803835)	(29, 41.57970424506559)	(30, 45.38182180610598)	(31, 53.39404553849907)	(32, 60.57800911459005)	(33, 66.82605450418859)	(34, 70.16207228876212)	(35, 74.39422838586435)	(36, 77.24729906352897)	(37, 80.0922865142561)	(38, 81.65685745319497)	(39, 83.96534326634607)	(40, 87.01075478484553)	(41, 89.34215956278335)	(42, 90.26820018950482)	(43, 90.65712037630011)	(44, 91.01014226750985)	(45, 91.34941277984754)	(46, 91.63383296223944)	(47, 91.85205875153929)	(48, 92.02066396367076)	(49, 92.15783634419796)	(50, 92.22587550542477)	(51, 92.27434382994116)	(52, 92.31502571986985)	(53, 92.33450344525482)	(54, 92.3466932696069)	(55, 92.35420618967623)	(56, 92.35915854829668)	(57, 92.3623553704692)	(58, 92.36474910746006)	(59, 92.36650270408867)	(60, 92.36805455951225)	(61, 92.3696549104178)	(62, 92.37062094041896)	(63, 92.37154235457669)	(64, 92.37236483795118)	(65, 92.37301661722908)
RIBO-HELA-R1.0-raw.fastq - polya	(1, 0.26193379730448146)	(2, 0.27416241804215047)	(3, 0.29268963198020204)	(4, 0.3073527259135841)	(5, 0.31560859676693426)	(6, 0.32019626936283957)	(7, 0.32495464605533675)	(8, 0.3266985435875646)	(9, 0.3281553478664335)	(10, 0.3302542323268012)	(11, 0.331714916244229)	(12, 0.33283807160703205)	(13, 0.3370552387205619)	(14, 0.33815317643273207)	(15, 0.33955372595249683)	(16, 0.3412782252919302)	(17, 0.3436506242707007)	(18, 0.34556134626096147)	(19, 0.34694637722649063)	(20, 0.3479570230710854)	(21, 0.34874071005998425)	(22, 0.3493304151209378)	(23, 0.3497746337359325)	(24, 0.3501257410255134)	(25, 0.3503294220498559)	(26, 0.3505660800019491)	(27, 0.3507387239178204)	(28, 0.3509094280144122)	(29, 0.35105103482181227)	(30, 0.3511693637978589)	(31, 0.3512663547618315)	(32, 0.3513342484366124)	(33, 0.35141572084634937)	(34, 0.35147003578617403)	(35, 0.3515049525332042)	(36, 0.35152241090671926)	(37, 0.35155538783446993)	(38, 0.351572846207985)	(39, 0.35158060548510284)	(40, 0.35158060548510284)	(41, 0.3515864249429412)	(42, 0.35158836476222066)	(43, 0.3515903045815001)	(44, 0.3515980638586179)	(45, 0.3516058231357357)	(46, 0.3516116425935741)	(47, 0.3516174620514124)	(48, 0.3516271611478097)	(49, 0.35164073988276584)	(50, 0.3516601380755604)	(51, 0.3516717769912371)	(52, 0.3516834159069138)	(53, 0.3516950548225905)	(54, 0.35171057337682615)	(55, 0.35173191138890014)	(56, 0.3517668281359303)	(57, 0.35183278199143164)	(58, 0.3521179354255112)	(59, 0.35241472777526744)	(60, 0.353128581270106)	(61, 0.35775699007087985)	(62, 0.3606046447731162)	(63, 0.3750795762363913)	(64, 0.376423870997052)	(65, 0.3778108417818606)
RIBO-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz - polya	(1, 0.44558415028264464)	(2, 0.46660752632859265)	(3, 0.4984394930424034)	(4, 0.5236395220254392)	(5, 0.537807449360752)	(6, 0.5456837094122409)	(7, 0.5538635440781666)	(8, 0.5568592584052472)	(9, 0.5593545750162229)	(10, 0.5629541025874031)	(11, 0.5654427472288308)	(12, 0.5673642744586731)	(13, 0.5745966894487738)	(14, 0.5764648409222316)	(15, 0.5787933582945058)	(16, 0.5817056730022355)	(17, 0.5855687433705643)	(18, 0.5885477777737746)	(19, 0.5906594561357367)	(20, 0.5920872576190223)	(21, 0.5931414288076163)	(22, 0.5939153772751916)	(23, 0.594485830671551)	(24, 0.5949195086921752)	(25, 0.5951530276263575)	(26, 0.5954566022407943)	(27, 0.5956634332967843)	(28, 0.5959136321548366)	(29, 0.5961104552565045)	(30, 0.5962872624495282)	(31, 0.5964040219166193)	(32, 0.596474077596874)	(33, 0.5965641491857728)	(34, 0.5966475488051236)	(35, 0.5966975885767342)	(36, 0.5967242764549264)	(37, 0.5967543003178927)	(38, 0.5967709802417628)	(39, 0.5967809881960849)	(40, 0.5967809881960849)	(41, 0.596790996150407)	(42, 0.596790996150407)	(43, 0.5967943321351811)	(44, 0.5968010041047291)	(45, 0.5968010041047291)	(46, 0.5968043400895031)	(47, 0.5968043400895031)	(48, 0.5968110120590512)	(49, 0.5968143480438253)	(50, 0.5968243559981473)	(51, 0.5968310279676954)	(52, 0.5968343639524695)	(53, 0.5968376999372434)	(54, 0.5968410359220175)	(55, 0.5968443719067915)	(56, 0.5968443719067915)	(57, 0.5968477078915656)	(58, 0.5968643878154357)	(59, 0.5968677238002097)	(60, 0.596891075693628)	(61, 0.5969077556174981)	(62, 0.5969377794804644)	(63, 0.5971279306125842)	(64, 0.5971279306125842)	(65, 0.5971312665973583)
RIBO-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz - polyg	(1, 0.16139160738288125)	(2, 0.16276936909455636)	(3, 0.1632063830999545)	(4, 0.1633097986279495)	(5, 0.16354331756213172)	(6, 0.1639202838415973)	(7, 0.16417715466919774)	(8, 0.16454411299434124)	(9, 0.16464419253756218)	(10, 0.16488104745651844)	(11, 0.16513124631457082)	(12, 0.16522131790346967)	(13, 0.16531472547714257)	(14, 0.16535475729443094)	(15, 0.16537477320307514)	(16, 0.16540813305081545)	(17, 0.16542481297468561)	(18, 0.16545150085287788)	(19, 0.16549820463971432)	(20, 0.16553156448745462)	(21, 0.16562497206112753)	(22, 0.16570169971093024)	(23, 0.16578843531505508)	(24, 0.16586516296485782)	(25, 0.1659252106907904)	(26, 0.16597191447762683)	(27, 0.166095345914266)	(28, 0.1661487216706505)	(29, 0.16616206560974664)	(30, 0.1661720735640687)	(31, 0.16618541750316485)	(32, 0.1662121053813571)	(33, 0.16621877735090518)	(34, 0.16624546522909742)	(35, 0.16624546522909742)	(36, 0.16627882507683775)	(37, 0.16629216901593386)	(38, 0.16629216901593386)	(39, 0.16629884098548192)	(40, 0.16629884098548192)	(41, 0.16629884098548192)	(42, 0.16629884098548192)	(43, 0.16630551295503)	(44, 0.16630884893980402)	(45, 0.16630884893980402)	(46, 0.16630884893980402)	(47, 0.16630884893980402)	(48, 0.16630884893980402)	(49, 0.16630884893980402)	(50, 0.16630884893980402)	(51, 0.16630884893980402)	(52, 0.16630884893980402)	(53, 0.16630884893980402)	(54, 0.16630884893980402)	(55, 0.16630884893980402)	(56, 0.16630884893980402)	(57, 0.16630884893980402)	(58, 0.16630884893980402)	(59, 0.16630884893980402)	(60, 0.16630884893980402)	(61, 0.16630884893980402)	(62, 0.16630884893980402)	(63, 0.16630884893980402)	(64, 0.16630884893980402)	(65, 0.16630884893980402)
RIBO-HELA-R1.2-filtered.unmapped.fastq.gz - polya	(1, 0.10365151947553501)	(2, 0.10808645883913032)	(3, 0.11511857159715988)	(4, 0.11909027243133856)	(5, 0.12300122067149538)	(6, 0.12729946669854153)	(7, 0.13205335718075156)	(8, 0.13422526241703284)	(9, 0.1363971676533141)	(10, 0.14158392036792986)	(11, 0.14501644193016458)	(12, 0.14811482422527913)	(13, 0.1632270319882152)	(14, 0.1671531683768775)	(15, 0.1718994647848348)	(16, 0.17821014048885486)	(17, 0.18649527549858516)	(18, 0.19252497045525413)	(19, 0.19693712759609125)	(20, 0.19996716322293118)	(21, 0.20220741512748705)	(22, 0.20387051738883527)	(23, 0.205123539640536)	(24, 0.20606520484787474)	(25, 0.20659679004556597)	(26, 0.20728025672831182)	(27, 0.2077510893319812)	(28, 0.20831305082668333)	(29, 0.2087611012075945)	(30, 0.20916358714298927)	(31, 0.2094293797418349)	(32, 0.20958885530114227)	(33, 0.209793895305966)	(34, 0.2099837471622843)	(35, 0.21009765827607527)	(36, 0.2101508167958444)	(37, 0.21021916346411898)	(38, 0.21025713383538264)	(39, 0.21027991605814084)	(40, 0.21027991605814084)	(41, 0.21030269828089904)	(42, 0.21030269828089904)	(43, 0.21031029235515178)	(44, 0.21032548050365724)	(45, 0.21032548050365724)	(46, 0.21033307457790995)	(47, 0.21033307457790995)	(48, 0.21034826272641544)	(49, 0.21035585680066815)	(50, 0.21037863902342635)	(51, 0.2103938271719318)	(52, 0.21040142124618455)	(53, 0.2104090153204373)	(54, 0.21041660939469)	(55, 0.21042420346894275)	(56, 0.21042420346894275)	(57, 0.21043179754319546)	(58, 0.21046976791445912)	(59, 0.21047736198871186)	(60, 0.21053052050848098)	(61, 0.21056849087974464)	(62, 0.21063683754801923)	(63, 0.21106969978042495)	(64, 0.21106969978042495)	(65, 0.21107729385467766)
RIBO-HELA-R1.2-filtered.unmapped.fastq.gz - polyg	(1, 0.3660191908331626)	(2, 0.36899606794023343)	(3, 0.3699529212960776)	(4, 0.3701883375979123)	(5, 0.3707199227956035)	(6, 0.3715780531861622)	(7, 0.37216279690362253)	(8, 0.37299814507142304)	(9, 0.373225967299005)	(10, 0.37376514657094895)	(11, 0.37433470213990383)	(12, 0.37453974214472757)	(13, 0.37475237622380403)	(14, 0.37484350511483683)	(15, 0.3748890695603532)	(16, 0.3749574162286278)	(17, 0.37499538659989146)	(18, 0.37505613919391334)	(19, 0.37516245623345157)	(20, 0.37523080290172617)	(21, 0.3754206547580444)	(22, 0.37559531846585725)	(23, 0.3757927643964283)	(24, 0.3759674281042411)	(25, 0.3761041214407903)	(26, 0.37621043848032854)	(27, 0.3764914192276796)	(28, 0.3766129244157233)	(29, 0.3766433007127342)	(30, 0.3766660829354924)	(31, 0.3766964592325034)	(32, 0.3767496177522725)	(33, 0.37676480590077793)	(34, 0.37681796442054705)	(35, 0.37681796442054705)	(36, 0.3768939051630744)	(37, 0.37692428146008533)	(38, 0.37692428146008533)	(39, 0.37693946960859076)	(40, 0.37693946960859076)	(41, 0.37693946960859076)	(42, 0.37693946960859076)	(43, 0.37695465775709625)	(44, 0.37696225183134896)	(45, 0.37696225183134896)	(46, 0.37696225183134896)	(47, 0.37696225183134896)	(48, 0.37696225183134896)	(49, 0.37696225183134896)	(50, 0.37696225183134896)	(51, 0.37696225183134896)	(52, 0.37696225183134896)	(53, 0.37696225183134896)	(54, 0.37696225183134896)	(55, 0.37696225183134896)	(56, 0.37696225183134896)	(57, 0.37696225183134896)	(58, 0.37696225183134896)	(59, 0.37696225183134896)	(60, 0.37696225183134896)	(61, 0.37696225183134896)	(62, 0.37696225183134896)	(63, 0.37696225183134896)	(64, 0.37696225183134896)	(65, 0.37696225183134896)
RIBO-HELA-R2.0-raw.fastq - illumina_universal_adapter	(1, 20.10622781632169)	(2, 20.201568941012972)	(3, 20.20628079464857)	(4, 20.20877992486118)	(5, 20.2128242658984)	(6, 20.21587311236849)	(7, 20.219416241523888)	(8, 20.225047368564862)	(9, 20.231334459543344)	(10, 20.2372727809635)	(11, 20.243206482919312)	(12, 20.25377812708114)	(13, 20.269119368182928)	(14, 20.283869317848087)	(15, 20.313420031286245)	(16, 20.35800248171483)	(17, 20.496202996632665)	(18, 20.58340462514167)	(19, 20.688841589166877)	(20, 20.810952509758444)	(21, 20.970434896930396)	(22, 21.09615823864259)	(23, 21.251940434871294)	(24, 21.40727454305818)	(25, 21.728013191711952)	(26, 21.960386106840865)	(27, 22.298244490370646)	(28, 22.7869330043474)	(29, 24.975050850486117)	(30, 26.92557116731762)	(31, 31.559577589712713)	(32, 37.076693940831085)	(33, 44.14175121999476)	(34, 49.1013628967349)	(35, 55.23170159147245)	(36, 60.59813794473518)	(37, 66.08755136815483)	(38, 69.27518964460221)	(39, 74.1769887250193)	(40, 80.85075427653264)	(41, 86.91868862738461)	(42, 89.07846836947668)	(43, 89.99559834339541)	(44, 90.86209667832104)	(45, 91.70369841013974)	(46, 92.38276428885206)	(47, 92.9440707823892)	(48, 93.40606803135961)	(49, 93.79478902709992)	(50, 93.99479797500237)	(51, 94.11896686696124)	(52, 94.19976591788306)	(53, 94.21873805796287)	(54, 94.22581969680931)	(55, 94.22960303811084)	(56, 94.23202594716169)	(57, 94.23327089280365)	(58, 94.23409777692204)	(59, 94.23467059050128)	(60, 94.23508634229265)	(61, 94.23554366926317)	(62, 94.23583700524931)	(63, 94.23602871301978)	(64, 94.23620425266502)	(65, 94.23635207552418)
RIBO-HELA-R2.0-raw.fastq - polya	(1, 0.5065935577920282)	(2, 0.5368602882042232)	(3, 0.5635584824071049)	(4, 0.5863924946823613)	(5, 0.5981906066287512)	(6, 0.603535326880111)	(7, 0.6097392675003153)	(8, 0.6117649026171875)	(9, 0.6138759978245094)	(10, 0.6170334017067951)	(11, 0.6189989837871352)	(12, 0.6206481325595946)	(13, 0.6244938366298254)	(14, 0.6257110654856883)	(15, 0.6272585860424779)	(16, 0.6295567695559191)	(17, 0.6327003150451589)	(18, 0.6355297369586921)	(19, 0.6372089122494174)	(20, 0.6388603707540511)	(21, 0.6401445818429691)	(22, 0.6411793418570612)	(23, 0.641828376598043)	(24, 0.6423111106224745)	(25, 0.6427638181286397)	(26, 0.643142614205227)	(27, 0.6434844545670253)	(28, 0.6437246667131539)	(29, 0.6439487107340622)	(30, 0.644094223861044)	(31, 0.6442836218993375)	(32, 0.6444083474367505)	(33, 0.644530763241989)	(34, 0.644685515297668)	(35, 0.6447802143168149)	(36, 0.6448656744072644)	(37, 0.644907249586402)	(38, 0.6449418955690167)	(39, 0.6449534442298883)	(40, 0.6449649928907598)	(41, 0.6449788512838057)	(42, 0.6449903999446773)	(43, 0.6449996388733745)	(44, 0.6450042583377231)	(45, 0.6450088778020718)	(46, 0.645018116730769)	(47, 0.6450204264629433)	(48, 0.645025045927292)	(49, 0.6450504529812094)	(50, 0.6450712405707782)	(51, 0.6450897184281728)	(52, 0.6451012670890444)	(53, 0.6451243644107875)	(54, 0.6451613201255765)	(55, 0.6451821077151453)	(56, 0.6452121342334113)	(57, 0.6453045235203838)	(58, 0.645623266560439)	(59, 0.6460782837987786)	(60, 0.6469975572041551)	(61, 0.6521020653093864)	(62, 0.6560147516126723)	(63, 0.6702380823420906)	(64, 0.671799461291926)	(65, 0.673416273813945)
RIBO-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz - polya	(1, 0.6833667723447903)	(2, 0.724347814114976)	(3, 0.7604819723467928)	(4, 0.7913906331550614)	(5, 0.8073549971400571)	(6, 0.8145830804025698)	(7, 0.8229782957243541)	(8, 0.8257130770106901)	(9, 0.8285636327908412)	(10, 0.8328285148197611)	(11, 0.8354881991371358)	(12, 0.8377223339637306)	(13, 0.8429134119431716)	(14, 0.8445530290988239)	(15, 0.8466213247856295)	(16, 0.8497034295534108)	(17, 0.8538900855729962)	(18, 0.8576105145769475)	(19, 0.8597382620308474)	(20, 0.861765880192799)	(21, 0.8632803357335159)	(22, 0.8643848869853198)	(23, 0.8650576306655969)	(24, 0.8655707932868316)	(25, 0.8660151170198519)	(26, 0.8664187632280181)	(27, 0.8668380546380514)	(28, 0.8671227973120291)	(29, 0.8673699915015264)	(30, 0.8675389596816889)	(31, 0.8677423473059588)	(32, 0.8678800250823876)	(33, 0.8680177028588164)	(34, 0.8681835419986057)	(35, 0.8682961874520475)	(36, 0.8683618972998884)	(37, 0.8684057038651158)	(38, 0.8684338652284763)	(39, 0.8684432523495964)	(40, 0.8684526394707166)	(41, 0.8684620265918367)	(42, 0.8684682846725835)	(43, 0.8684745427533302)	(44, 0.8684745427533302)	(45, 0.8684745427533302)	(46, 0.8684776717937036)	(47, 0.8684776717937036)	(48, 0.868480800834077)	(49, 0.8684839298744503)	(50, 0.8684933169955705)	(51, 0.8684933169955705)	(52, 0.8684933169955705)	(53, 0.8684933169955705)	(54, 0.8684933169955705)	(55, 0.8684933169955705)	(56, 0.8684933169955705)	(57, 0.8684933169955705)	(58, 0.8685027041166907)	(59, 0.8685089621974375)	(60, 0.8685402526011713)	(61, 0.8685590268434116)	(62, 0.8685934462875188)	(63, 0.8686622851757332)	(64, 0.8686622851757332)	(65, 0.8686622851757332)
RIBO-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz - polyg	(1, 0.09288243444347513)	(2, 0.09444069654941943)	(3, 0.09558279628570392)	(4, 0.09578305486960037)	(5, 0.0960396361802177)	(6, 0.09640260486353003)	(7, 0.09726934904695689)	(8, 0.09797651217134125)	(9, 0.09820493211859814)	(10, 0.09858980408452414)	(11, 0.09919683791696028)	(12, 0.09944716114683085)	(13, 0.09955667755989922)	(14, 0.09963803260960716)	(15, 0.09972251669968847)	(16, 0.09982890407238347)	(17, 0.09992590432395831)	(18, 0.09996971088918566)	(19, 0.10004793689852022)	(20, 0.10011677578673463)	(21, 0.10019813083644255)	(22, 0.10027322780540372)	(23, 0.10038900229921886)	(24, 0.10049851871228724)	(25, 0.10055171239863474)	(26, 0.10059551896386208)	(27, 0.10066748689244988)	(28, 0.10070503537693046)	(29, 0.10072693865954413)	(30, 0.10074258386141105)	(31, 0.10075510002290458)	(32, 0.1007676161843981)	(33, 0.10077074522477149)	(34, 0.10078326138626502)	(35, 0.10079264850738516)	(36, 0.10079890658813193)	(37, 0.10080516466887869)	(38, 0.10081142274962546)	(39, 0.10081142274962546)	(40, 0.10081142274962546)	(41, 0.10081455178999883)	(42, 0.10081455178999883)	(43, 0.10081455178999883)	(44, 0.10081768083037222)	(45, 0.10081768083037222)	(46, 0.10081768083037222)	(47, 0.10081768083037222)	(48, 0.10081768083037222)	(49, 0.10081768083037222)	(50, 0.10081768083037222)	(51, 0.10081768083037222)	(52, 0.10081768083037222)	(53, 0.10081768083037222)	(54, 0.10081768083037222)	(55, 0.10081768083037222)	(56, 0.10081768083037222)	(57, 0.10081768083037222)	(58, 0.10081768083037222)	(59, 0.10081768083037222)	(60, 0.10081768083037222)	(61, 0.10081768083037222)	(62, 0.10081768083037222)	(63, 0.10081768083037222)	(64, 0.10081768083037222)	(65, 0.10081768083037222)
