Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
RIBO-HELA-R1.0-raw.fastq	(1, 31.325636608921222)	(2, 31.612270028120008)	(3, 31.68827193410884)	(4, 31.687462854885574)	(5, 31.79912294562954)	(6, 35.36029528239443)	(7, 35.530897228103)	(8, 35.482209277247776)	(9, 35.46221117594289)	(10, 35.4549816537712)	(12, 35.56702298689726)	(14, 35.56731397918737)	(16, 35.36548618059166)	(18, 35.438955759201235)	(20, 35.41077840990453)	(22, 35.35822956884374)	(24, 35.35426705150612)	(26, 35.188430601626806)	(28, 35.307988249505925)	(30, 35.34539099133184)	(32, 35.28376306861098)	(34, 35.06129824073522)	(36, 34.794962944990175)	(38, 34.81209689342986)	(40, 34.29686471471447)	(42, 34.35883921524689)	(44, 34.963105898187344)	(46, 35.03693293699463)	(48, 34.92007702091246)	(50, 35.14292307177212)	(52, 35.111644814667144)	(54, 35.072446071763146)	(56, 35.023171548655114)	(58, 35.005182692761686)	(60, 34.99210127897329)	(62, 34.893036066245145)	(64, 34.64229827538039)	(66, 34.171857852603765)	(68, 33.9481621802979)	(70, 33.312958687242045)	(72, 32.370356426662006)	(74, 32.79550028462968)	(76, 32.3827389720595)
RIBO-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	(1, 31.205770613149998)	(2, 31.601701932696106)	(3, 31.583349446139792)	(4, 31.658317630853002)	(5, 31.773912872617824)	(6, 35.383874403375806)	(7, 35.53478961745462)	(8, 35.34273960944159)	(9, 35.344764685638815)	(10, 35.35053542222025)	(12, 35.53362709348056)	(14, 35.484171903161965)	(16, 35.20692216173414)	(18, 35.37888055420396)	(20, 35.3098170951892)	(22, 35.35135800931143)	(24, 35.311551127784256)	(26, 35.18678783318373)	(28, 35.35088651875104)	(30, 35.45237662541426)	(32, 35.2175262137074)	(34, 34.98405171840301)	(36, 35.12170207657174)	(38, 35.15245055435023)	(40, 34.761406506036195)	(42, 34.02039383013463)	(44, 33.74497516564538)	(46, 33.57849648752704)	(48, 31.182030878422935)	(50, 33.13616229447333)	(52, 33.09753296416338)	(54, 31.12300329089331)	(56, 30.65743063412677)	(58, 31.57323013804192)	(60, 33.81733147385847)	(62, 31.62395229899387)	(64, 33.13012656082897)	(66, 30.387268392588044)	(68, 28.263266852998854)	(70, 29.147652551690964)	(72, 33.04989903352505)	(74, 34.55640371503981)	(76, 34.168047729532645)
RIBO-HELA-R1.2-filtered.unmapped.fastq.gz	(1, 31.13169605598716)	(2, 31.582060275382396)	(3, 31.47256617893978)	(4, 31.622372051619656)	(5, 31.764866957134945)	(6, 35.350768846859566)	(7, 35.52361369794813)	(8, 35.22207806981719)	(9, 35.22691253342722)	(10, 35.24142089837595)	(12, 35.47359578352696)	(14, 35.44559301442373)	(16, 35.149558267888864)	(18, 35.31907514537555)	(20, 35.277329080000804)	(22, 35.25497344653054)	(24, 35.31588810132375)	(26, 35.15717385569464)	(28, 35.29359597385517)	(30, 35.43714635881277)	(32, 35.01458245650068)	(34, 34.622175777461266)	(36, 34.57898561477272)	(38, 34.42117999603532)	(40, 33.74486929827279)	(42, 33.39276636885431)	(44, 32.78236566948277)	(46, 32.558847903631595)	(48, 29.261815367882825)	(50, 32.41069399263609)	(52, 32.81801160162193)	(54, 30.824865972254564)	(56, 30.442920901591478)	(58, 31.449912721879528)	(60, 33.780601545363446)	(62, 31.557674187480714)	(64, 33.100944311308915)	(66, 30.34109287911948)	(68, 28.210168253706776)	(70, 29.12565216339605)	(72, 33.050923431984415)	(74, 34.561015246543974)	(76, 34.16684857400465)
RIBO-HELA-R2.0-raw.fastq	(1, 31.28928309909146)	(2, 31.620662591483004)	(3, 31.67499924875961)	(4, 31.684661158709943)	(5, 31.790676964715352)	(6, 35.37470646479946)	(7, 35.54100935249823)	(8, 35.4636782027549)	(9, 35.44303166852997)	(10, 35.42875214201675)	(12, 35.5617804852253)	(14, 35.54881791025457)	(16, 35.29435408143418)	(18, 35.417489645412914)	(20, 35.39353707604029)	(22, 35.360576805258376)	(24, 35.32959741853246)	(26, 35.163808850445605)	(28, 35.27800949267588)	(30, 35.32586834438837)	(32, 35.210469609433304)	(34, 34.96203662990397)	(36, 34.952523281927085)	(38, 34.818022022510974)	(40, 34.53898022968577)	(42, 34.49273514164883)	(44, 34.57996173836264)	(46, 34.75488578224265)	(48, 34.59386775808595)	(50, 34.7883545521114)	(52, 34.89226612281405)	(54, 34.585774664423056)	(56, 34.68155883039135)	(58, 34.42215813382694)	(60, 34.68963648349467)	(62, 34.520687116219236)	(64, 34.367086923975606)	(66, 34.23396206860814)	(68, 34.291662481239484)	(70, 33.877011669898714)	(72, 32.72327414098)	(74, 32.485047752442355)	(76, 31.718801564049)
RIBO-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz	(1, 31.213513136337294)	(2, 31.619499522508438)	(3, 31.619161241953673)	(4, 31.670053925881795)	(5, 31.775718239927308)	(6, 35.38958236072328)	(7, 35.54580010813964)	(8, 35.38515048180964)	(9, 35.38402599857066)	(10, 35.369682430563465)	(12, 35.54411471312332)	(14, 35.49826227178344)	(16, 35.19444937963645)	(18, 35.38839154484124)	(20, 35.34990624822555)	(22, 35.37982768793753)	(24, 35.321383578299994)	(26, 35.18831802156743)	(28, 35.33058708214493)	(30, 35.42434964138039)	(32, 35.25819707618304)	(34, 35.02341964831206)	(36, 35.19658176279019)	(38, 35.2626215457511)	(40, 35.11194688789902)	(42, 34.52834242386628)	(44, 34.603027784099424)	(46, 34.584193076829514)	(48, 33.202767350206045)	(50, 33.21062532752633)	(52, 32.325081633600774)	(54, 30.972722652934692)	(56, 30.834666168648276)	(58, 31.862719556030058)	(60, 33.51350361214757)	(62, 32.11877642467288)	(64, 33.216915795490024)	(66, 30.53715963201231)	(68, 28.45896780393323)	(70, 29.24690865751093)	(72, 32.85450134718846)	(74, 34.34009785908104)	(76, 34.109484536082476)
RIBO-HELA-R2.2-filtered.unmapped.fastq.gz	(1, 31.07920451745945)	(2, 31.576972121799056)	(3, 31.513444356069392)	(4, 31.630943567108986)	(5, 31.750769830597118)	(6, 35.32040847427011)	(7, 35.50795546229664)	(8, 35.237415470011335)	(9, 35.24771418394357)	(10, 35.237334797136796)	(12, 35.469059506582916)	(14, 35.428160251403995)	(16, 35.13039131790032)	(18, 35.29334646236336)	(20, 35.28722890848192)	(22, 35.25459090943791)	(24, 35.298450527137575)	(26, 35.13935461078189)	(28, 35.24775642705875)	(30, 35.39318722168983)	(32, 35.19418179913771)	(34, 34.94456874196142)	(36, 34.94230784087586)	(38, 34.897342417869424)	(40, 34.58333385461128)	(42, 34.246880767859246)	(44, 34.216062486629866)	(46, 34.07013765257123)	(48, 31.758405065459506)	(50, 31.929256500926265)	(52, 32.049127593354555)	(54, 30.842574411668373)	(56, 30.766847751634657)	(58, 31.828702629337656)	(60, 33.500217983545255)	(62, 32.106866450049495)	(64, 33.211988188735745)	(66, 30.529219572524397)	(68, 28.452009634040632)	(70, 29.242839215007347)	(72, 32.854801804576915)	(74, 34.34005950251014)	(76, 34.10871957089809)
RIBO-HELA-R3.0-raw.fastq	(1, 31.21335234138194)	(2, 31.61615919793387)	(3, 31.658394094567317)	(4, 31.676174092683766)	(5, 31.782800343815758)	(6, 35.36459904222481)	(7, 35.53398503831008)	(8, 35.426868631108164)	(9, 35.41736976091731)	(10, 35.40605954935948)	(12, 35.55091573785402)	(14, 35.529571231071515)	(16, 35.26729606861053)	(18, 35.4040407985883)	(20, 35.37908651417584)	(22, 35.36341390170155)	(24, 35.319649649144125)	(26, 35.16340656779636)	(28, 35.28277008521246)	(30, 35.33864382129431)	(32, 35.21884496773855)	(34, 34.98661998817202)	(36, 35.02340753930687)	(38, 34.83477368170438)	(40, 34.45738831001205)	(42, 34.43564184194871)	(44, 34.89330936607727)	(46, 34.95148980921404)	(48, 34.77809031389043)	(50, 35.11521232012337)	(52, 35.09186048091054)	(54, 35.018747785763665)	(56, 35.00087987831664)	(58, 34.99699623891746)	(60, 35.01819585171201)	(62, 34.83024884299498)	(64, 34.64517530733357)	(66, 34.20724831044832)	(68, 34.272886940275015)	(70, 33.581954142468206)	(72, 32.219341760719104)	(74, 32.66849596020289)	(76, 31.06273272154656)
RIBO-HELA-R3.1-trimmed.SE.paired.trim.fastq.gz	(1, 31.17512065472716)	(2, 31.617459862716462)	(3, 31.612425309908485)	(4, 31.664098409931434)	(5, 31.76955802656976)	(6, 35.378246698786114)	(7, 35.53889969310392)	(8, 35.37559109534152)	(9, 35.370765427087875)	(10, 35.36164854153514)	(12, 35.53735874825395)	(14, 35.49059662581898)	(16, 35.18633304941823)	(18, 35.380020670427584)	(20, 35.34307621409434)	(22, 35.37771698344108)	(24, 35.312527442774)	(26, 35.18362811217189)	(28, 35.32800922239814)	(30, 35.421165208995426)	(32, 35.2588927349278)	(34, 35.02094125055953)	(36, 35.2009892429979)	(38, 35.26874445262193)	(40, 35.14534724129308)	(42, 34.5818295235872)	(44, 34.72249732167017)	(46, 34.79696510306903)	(48, 33.93745018863207)	(50, 34.17296876662509)	(52, 33.07696083652306)	(54, 31.157074641826274)	(56, 30.746137816476185)	(58, 31.530664002750342)	(60, 33.53612010388967)	(62, 31.5814429690319)	(64, 32.960456293953)	(66, 30.299232345682256)	(68, 28.315598893124637)	(70, 29.11888946912365)	(72, 32.77869932322935)	(74, 34.30050169130441)	(76, 33.990771884432945)
RIBO-HELA-R3.2-filtered.unmapped.fastq.gz	(1, 31.007093193822893)	(2, 31.577828068436713)	(3, 31.51100376914998)	(4, 31.62966667105195)	(5, 31.74855587178312)	(6, 35.31755353515863)	(7, 35.51021798141079)	(8, 35.24077656402914)	(9, 35.24466868462732)	(10, 35.238690677182575)	(12, 35.46831103782817)	(14, 35.43023600857469)	(16, 35.13030198879853)	(18, 35.29464108915475)	(20, 35.28756884725023)	(22, 35.261756637827126)	(24, 35.29965628498545)	(26, 35.14070778928388)	(28, 35.255822363437076)	(30, 35.39735067356854)	(32, 35.20996169470207)	(34, 34.97556449752419)	(36, 34.99296337919024)	(38, 34.94710500607805)	(40, 34.74892858052944)	(42, 34.36805682853708)	(44, 34.42391838308378)	(46, 34.41775441420091)	(48, 32.802118510445304)	(50, 32.95925341875038)	(52, 32.62466570244635)	(54, 30.752473161053924)	(56, 30.468592415676255)	(58, 31.365307747932377)	(60, 33.47331654456843)	(62, 31.486135875640237)	(64, 32.91921636372108)	(66, 30.242207188355053)	(68, 28.25243736733996)	(70, 29.09197327977097)	(72, 32.77777517790153)	(74, 34.30547299307213)	(76, 33.98754756139744)
RIBO-RRNA-KO-R1.0-raw.fastq	(1, 31.26712823208646)	(2, 31.624424606781293)	(3, 31.67025030030393)	(4, 31.68366592377521)	(5, 31.782472603095275)	(6, 35.3888436561326)	(7, 35.53124864223553)	(8, 35.4283254509875)	(9, 35.414440742311655)	(10, 35.416135866985755)	(12, 35.56320170325333)	(14, 35.547769340829426)	(16, 35.20292612889389)	(18, 35.407730585241964)	(20, 35.381427286789915)	(22, 35.391167643043026)	(24, 35.323521586951244)	(26, 35.188258593699445)	(28, 35.34036372507328)	(30, 35.40028953930612)	(32, 35.28537860994277)	(34, 35.083225530743576)	(36, 35.14601934821493)	(38, 35.03158129338017)	(40, 34.87954068168615)	(42, 34.819622768009964)	(44, 34.9704479632181)	(46, 35.02836067146674)	(48, 34.854260491525366)	(50, 35.20473622092333)	(52, 35.19725221398615)	(54, 35.12047599317907)	(56, 35.10132519099573)	(58, 35.06500789559007)	(60, 35.10632464301533)	(62, 34.88590494337187)	(64, 34.71793532867365)	(66, 34.103552311011235)	(68, 34.258655036826525)	(70, 33.90570415224194)	(72, 32.6602398995292)	(74, 32.94131795780157)	(76, 31.7544985990354)
