Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
RIBO-HELA-R1.0-raw.fastq	(16.0, 13.0)	(17.0, 48.0)	(18.0, 151.0)	(19.0, 1836.0)	(20.0, 15674.0)	(21.0, 49478.0)	(22.0, 88508.0)	(23.0, 142389.0)	(24.0, 182391.0)	(25.0, 216037.0)	(26.0, 262217.0)	(27.0, 333612.0)	(28.0, 440375.0)	(29.0, 575261.0)	(30.0, 748831.0)	(31.0, 999028.0)	(32.0, 1432703.0)	(33.0, 2570941.0)	(34.0, 8560067.0)	(35.0, 34931634.0)		
RIBO-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	(15.0, 1.0)	(16.0, 2.0)	(17.0, 14.0)	(18.0, 72.0)	(19.0, 202.0)	(20.0, 731.0)	(21.0, 2530.0)	(22.0, 7562.0)	(23.0, 15730.0)	(24.0, 24492.0)	(25.0, 36346.0)	(26.0, 58504.0)	(27.0, 98616.0)	(28.0, 162395.0)	(29.0, 255664.0)	(30.0, 386162.0)	(31.0, 563934.0)	(32.0, 839550.0)	(33.0, 1432232.0)	(34.0, 4647841.0)	(35.0, 21443576.0)	
RIBO-HELA-R1.2-filtered.unmapped.fastq.gz	(17.0, 2.0)	(18.0, 22.0)	(19.0, 99.0)	(20.0, 504.0)	(21.0, 2144.0)	(22.0, 6804.0)	(23.0, 13854.0)	(24.0, 19913.0)	(25.0, 25165.0)	(26.0, 33848.0)	(27.0, 50958.0)	(28.0, 77755.0)	(29.0, 118451.0)	(30.0, 175988.0)	(31.0, 254361.0)	(32.0, 378589.0)	(33.0, 652204.0)	(34.0, 2146582.0)	(35.0, 9210919.0)			
RIBO-RRNA-KO-R1.0-raw.fastq	(15.0, 1.0)	(16.0, 29.0)	(17.0, 52.0)	(18.0, 131.0)	(19.0, 768.0)	(20.0, 5353.0)	(21.0, 18588.0)	(22.0, 46785.0)	(23.0, 88493.0)	(24.0, 120673.0)	(25.0, 168376.0)	(26.0, 241244.0)	(27.0, 339793.0)	(28.0, 459896.0)	(29.0, 619220.0)	(30.0, 828460.0)	(31.0, 1125649.0)	(32.0, 1619389.0)	(33.0, 2768868.0)	(34.0, 8031096.0)	(35.0, 37880394.0)	
RIBO-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz	(16.0, 1.0)	(17.0, 12.0)	(18.0, 32.0)	(19.0, 95.0)	(20.0, 359.0)	(21.0, 1134.0)	(22.0, 3876.0)	(23.0, 10133.0)	(24.0, 22890.0)	(25.0, 45777.0)	(26.0, 85154.0)	(27.0, 151791.0)	(28.0, 254242.0)	(29.0, 400701.0)	(30.0, 598387.0)	(31.0, 857629.0)	(32.0, 1251215.0)	(33.0, 2078828.0)	(34.0, 6520983.0)	(35.0, 34571407.0)		
RIBO-RRNA-KO-R1.2-filtered.unmapped.fastq.gz	(17.0, 2.0)	(18.0, 10.0)	(19.0, 47.0)	(20.0, 224.0)	(21.0, 853.0)	(22.0, 3078.0)	(23.0, 7376.0)	(24.0, 14307.0)	(25.0, 22360.0)	(26.0, 31202.0)	(27.0, 43119.0)	(28.0, 59088.0)	(29.0, 82092.0)	(30.0, 115974.0)	(31.0, 161428.0)	(32.0, 231167.0)	(33.0, 389317.0)	(34.0, 1244236.0)	(35.0, 5750421.0)			
RNA-HELA-R1.0-raw.fastq	(14.0, 4.0)	(15.0, 70.0)	(16.0, 278.0)	(17.0, 650.0)	(18.0, 1170.0)	(19.0, 2402.0)	(20.0, 7056.0)	(21.0, 16569.0)	(22.0, 34535.0)	(23.0, 99768.0)	(24.0, 246803.0)	(25.0, 364719.0)	(26.0, 394026.0)	(27.0, 485445.0)	(28.0, 589458.0)	(29.0, 728296.0)	(30.0, 896879.0)	(31.0, 1122054.0)	(32.0, 1508530.0)	(33.0, 2443190.0)	(34.0, 6785678.0)	(35.0, 48702108.0)
RNA-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	(15.0, 21.0)	(16.0, 90.0)	(17.0, 235.0)	(18.0, 552.0)	(19.0, 1204.0)	(20.0, 2362.0)	(21.0, 4606.0)	(22.0, 8900.0)	(23.0, 16695.0)	(24.0, 32802.0)	(25.0, 65048.0)	(26.0, 121675.0)	(27.0, 209418.0)	(28.0, 329726.0)	(29.0, 485979.0)	(30.0, 692461.0)	(31.0, 965799.0)	(32.0, 1344687.0)	(33.0, 2030838.0)	(34.0, 4990083.0)	(35.0, 45170587.0)	
RNA-RRNA-KO-R1.0-raw.fastq	(14.0, 3.0)	(15.0, 57.0)	(16.0, 227.0)	(17.0, 589.0)	(18.0, 1059.0)	(19.0, 1920.0)	(20.0, 4422.0)	(21.0, 10007.0)	(22.0, 20703.0)	(23.0, 45672.0)	(24.0, 92408.0)	(25.0, 159535.0)	(26.0, 229807.0)	(27.0, 320768.0)	(28.0, 430240.0)	(29.0, 571489.0)	(30.0, 747488.0)	(31.0, 983857.0)	(32.0, 1369015.0)	(33.0, 2219756.0)	(34.0, 5406166.0)	(35.0, 44620641.0)
RNA-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz	(14.0, 3.0)	(15.0, 19.0)	(16.0, 59.0)	(17.0, 213.0)	(18.0, 504.0)	(19.0, 991.0)	(20.0, 1847.0)	(21.0, 3608.0)	(22.0, 6998.0)	(23.0, 13802.0)	(24.0, 29123.0)	(25.0, 57831.0)	(26.0, 110286.0)	(27.0, 190060.0)	(28.0, 298312.0)	(29.0, 429702.0)	(30.0, 592561.0)	(31.0, 801260.0)	(32.0, 1121080.0)	(33.0, 1781954.0)	(34.0, 4597075.0)	(35.0, 44517759.0)
