Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
RIBO-HELA-R1.0-raw.fastq	(1.0, 6.173692040054317)	(2.0, 3.6975482423294554)	(3.0, 2.43516647178602)	(4.0, 1.5251371055948535)	(5.0, 1.0032190819539348)	(6.0, 0.7308041407617493)	(7.0, 0.5884073998401264)	(8.0, 0.48122132973014775)	(9.0, 0.4287930016458742)	('>10', 5.336026526490607)	('>50', 1.9210994368286067)	('>100', 4.5106787954495)	('>500', 2.1710147212940334)	('>1k', 6.658063698059596)	('>5k', 4.263012203727148)	('>10k+', 58.076115804454034)
RIBO-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	(1.0, 8.208595369351631)	(2.0, 5.816687281283822)	(3.0, 3.8776405481917298)	(4.0, 2.4549336443251035)	(5.0, 1.607881466452457)	(6.0, 1.1735427391675037)	(7.0, 0.9134191943057326)	(8.0, 0.7466624558287932)	(9.0, 0.6651607612684732)	('>10', 8.248196218007394)	('>50', 2.9066060033667225)	('>100', 6.601378016689639)	('>500', 3.184212550686228)	('>1k', 9.76322222215282)	('>5k', 5.932013187530546)	('>10k+', 37.89984834139144)
RIBO-HELA-R1.2-filtered.unmapped.fastq.gz	(1.0, 16.13971273284741)	(2.0, 11.676440803560668)	(3.0, 7.665669452457305)	(4.0, 4.720383496811278)	(5.0, 2.9332390469122003)	(6.0, 2.078451075023305)	(7.0, 1.596372182358484)	(8.0, 1.3098355767331902)	(9.0, 1.0988331766240578)	('>10', 12.127147808738341)	('>50', 3.1787955294221937)	('>100', 5.557177831051612)	('>500', 2.471513533760235)	('>1k', 8.859543536370488)	('>5k', 6.256639564906877)	('>10k+', 12.330244652422271)
RIBO-RRNA-KO-R1.0-raw.fastq	(1.0, 5.290916700330425)	(2.0, 2.331647756363181)	(3.0, 1.2183047179076396)	(4.0, 0.7612898956551861)	(5.0, 0.548382834105642)	(6.0, 0.4301867478412004)	(7.0, 0.3553056803699922)	(8.0, 0.3109732049372862)	(9.0, 0.2634640887869828)	('>10', 3.8147331107825226)	('>50', 1.6674772261947042)	('>100', 4.743803845048408)	('>500', 2.5533201916819745)	('>1k', 7.664274443709812)	('>5k', 3.752722910790486)	('>10k+', 64.29319664549455)
RIBO-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz	(1.0, 5.001074816482992)	(2.0, 2.4538778068490656)	(3.0, 1.295938629581062)	(4.0, 0.8036286606415554)	(5.0, 0.5724903429242603)	(6.0, 0.4505376286804751)	(7.0, 0.37881185285430663)	(8.0, 0.32034314807700814)	(9.0, 0.28449486237985655)	('>10', 3.9642865574474393)	('>50', 1.687427064994728)	('>100', 4.835513265479455)	('>500', 2.5005582578131063)	('>1k', 7.995615712266704)	('>5k', 3.8815950450407373)	('>10k+', 63.57380634848718)
RIBO-RRNA-KO-R1.2-filtered.unmapped.fastq.gz	(1.0, 23.49003469687766)	(2.0, 11.329213576720527)	(3.0, 5.765835349231557)	(4.0, 3.370009209676021)	(5.0, 2.2799123028312276)	(6.0, 1.7526251992257196)	(7.0, 1.3997874780848876)	(8.0, 1.1415309058251337)	(9.0, 0.9772012099532237)	('>10', 11.367628725572871)	('>50', 3.2701256914236145)	('>100', 6.701695490996652)	('>500', 2.963980907467188)	('>1k', 10.375496295551542)	('>5k', 4.855257323210743)	('>10k+', 8.959665637351407)
RNA-HELA-R1.0-raw.fastq	(1.0, 18.041678967215606)	(2.0, 7.959000926122277)	(3.0, 3.60286127846589)	(4.0, 1.8710318806971125)	(5.0, 1.1790730421000755)	(6.0, 0.8650470808224657)	(7.0, 0.687213676168388)	(8.0, 0.5365307429224615)	(9.0, 0.4509671797173388)	('>10', 6.846964008069466)	('>50', 2.9119723937074733)	('>100', 6.7794182232899445)	('>500', 3.5378488862938116)	('>1k', 9.937513824272026)	('>5k', 4.461343681555017)	('>10k+', 30.331534208580706)
RNA-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	(1.0, 20.543140374337966)	(2.0, 8.96366177772266)	(3.0, 4.038183942631943)	(4.0, 2.0794841001164728)	(5.0, 1.3177791826754661)	(6.0, 0.954949868264414)	(7.0, 0.7629597396811113)	(8.0, 0.5984904463748921)	(9.0, 0.5203492934190828)	('>10', 7.619802515844448)	('>50', 3.2375855950293535)	('>100', 7.601990975633976)	('>500', 3.977094043999263)	('>1k', 10.882252390831397)	('>5k', 4.9619666555376725)	('>10k+', 21.940309097899892)
RNA-RRNA-KO-R1.0-raw.fastq	(1.0, 16.05402695093508)	(2.0, 7.652498722302588)	(3.0, 3.5639595156079804)	(4.0, 1.9839229756841916)	(5.0, 1.235281375431096)	(6.0, 0.9004738140185585)	(7.0, 0.712234820854941)	(8.0, 0.5960817470976927)	(9.0, 0.4810238866462176)	('>10', 6.900655443395383)	('>50', 2.7944919148484177)	('>100', 6.39495007960458)	('>500', 3.174839485201421)	('>1k', 10.775727919169178)	('>5k', 6.429926014204621)	('>10k+', 30.349905334998084)
RNA-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz	(1.0, 16.922779684564883)	(2.0, 8.012837521917861)	(3.0, 3.703054774448289)	(4.0, 2.063915729395642)	(5.0, 1.2703548085121503)	(6.0, 0.9521091676813319)	(7.0, 0.7143034240652006)	(8.0, 0.6139447716281465)	(9.0, 0.48803823112724887)	('>10', 7.12936861021864)	('>50', 2.9041337053740492)	('>100', 6.684249159606163)	('>500', 3.3000088453974703)	('>1k', 11.259772995414217)	('>5k', 6.75842674885229)	('>10k+', 27.22270182179658)
