Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46
RIBO-HELA-R1.0-raw.fastq	(76, 51551194.0)																																														
RIBO-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	(18, 218135.0)	(20, 306576.0)	(22, 278195.0)	(24, 477544.0)	(26, 756124.0)	(28, 4228133.0)	(30, 7556903.0)	(32, 4834760.0)	(34, 3480388.0)	(36, 2271393.0)	(38, 2784724.0)	(40, 1666277.0)	(42, 372947.0)	(44, 294573.0)	(46, 195198.0)	(48, 104036.0)	(50, 47610.0)	(52, 20364.0)	(54, 11327.0)	(56, 6707.0)	(58, 4242.0)	(60, 6197.0)	(62, 5907.0)	(64, 18138.0)	(66, 4825.0)	(68, 1271.0)	(70, 842.0)	(72, 761.0)	(74, 940.0)	(76, 21119.0)																	
RIBO-HELA-R1.2-filtered.unmapped.fastq.gz	(18, 121510.0)	(20, 152424.0)	(22, 158214.0)	(24, 293479.0)	(26, 521256.0)	(28, 3088104.0)	(30, 5239492.0)	(32, 1393647.0)	(34, 582307.0)	(36, 439624.0)	(38, 324251.0)	(40, 233673.0)	(42, 185769.0)	(44, 158740.0)	(46, 110973.0)	(48, 54937.0)	(50, 20209.0)	(52, 13331.0)	(54, 8739.0)	(56, 5475.0)	(58, 3528.0)	(60, 5660.0)	(62, 5576.0)	(64, 17847.0)	(66, 4679.0)	(68, 1176.0)	(70, 775.0)	(72, 759.0)	(74, 935.0)	(76, 21073.0)																	
RIBO-HELA-R2.0-raw.fastq	(76, 43295063.0)																																														
RIBO-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz	(18, 141558.0)	(20, 223292.0)	(22, 173082.0)	(24, 283403.0)	(26, 392232.0)	(28, 1889366.0)	(30, 4350074.0)	(32, 5167014.0)	(34, 4804961.0)	(36, 3765193.0)	(38, 5080779.0)	(40, 3508127.0)	(42, 748046.0)	(44, 609212.0)	(46, 419728.0)	(48, 244359.0)	(50, 88603.0)	(52, 15904.0)	(54, 7632.0)	(56, 4686.0)	(58, 2755.0)	(60, 3380.0)	(62, 3841.0)	(64, 9650.0)	(66, 4062.0)	(68, 979.0)	(70, 655.0)	(72, 617.0)	(74, 940.0)	(76, 14550.0)																	
RIBO-HELA-R2.2-filtered.unmapped.fastq.gz	(18, 64035.0)	(20, 101281.0)	(22, 83737.0)	(24, 144409.0)	(26, 249625.0)	(28, 1331452.0)	(30, 2860014.0)	(32, 1841135.0)	(34, 1037738.0)	(36, 799057.0)	(38, 617677.0)	(40, 465165.0)	(42, 402056.0)	(44, 358924.0)	(46, 245964.0)	(48, 135522.0)	(50, 33660.0)	(52, 10490.0)	(54, 6615.0)	(56, 4334.0)	(58, 2588.0)	(60, 3255.0)	(62, 3780.0)	(64, 9605.0)	(66, 4040.0)	(68, 970.0)	(70, 650.0)	(72, 617.0)	(74, 940.0)	(76, 14542.0)																	
RIBO-HELA-R3.0-raw.fastq	(76, 42037631.0)																																														
RIBO-HELA-R3.1-trimmed.SE.paired.trim.fastq.gz	(18, 132513.0)	(20, 220774.0)	(22, 171039.0)	(24, 284301.0)	(26, 391527.0)	(28, 1878081.0)	(30, 4368404.0)	(32, 5161897.0)	(34, 4809066.0)	(36, 3849962.0)	(38, 5290828.0)	(40, 3628452.0)	(42, 783234.0)	(44, 665724.0)	(46, 483714.0)	(48, 312090.0)	(50, 135410.0)	(52, 22292.0)	(54, 9034.0)	(56, 4877.0)	(58, 2924.0)	(60, 3915.0)	(62, 3565.0)	(64, 9208.0)	(66, 2771.0)	(68, 980.0)	(70, 654.0)	(72, 480.0)	(74, 728.0)	(76, 11595.0)																	
RIBO-HELA-R3.2-filtered.unmapped.fastq.gz	(18, 57965.0)	(20, 102198.0)	(22, 82542.0)	(24, 145112.0)	(26, 246850.0)	(28, 1324074.0)	(30, 2857959.0)	(32, 1807608.0)	(34, 1038092.0)	(36, 808349.0)	(38, 631289.0)	(40, 476740.0)	(42, 420850.0)	(44, 388446.0)	(46, 279918.0)	(48, 171441.0)	(50, 47533.0)	(52, 12963.0)	(54, 6662.0)	(56, 3992.0)	(58, 2376.0)	(60, 3539.0)	(62, 3274.0)	(64, 8992.0)	(66, 2658.0)	(68, 907.0)	(70, 603.0)	(72, 480.0)	(74, 728.0)	(76, 11564.0)																	
RIBO-RRNA-KO-R1.0-raw.fastq	(76, 54363258.0)																																														
