Sample	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias	bowtie_2_hisat2-overall_alignment_rate	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
RIBO-HELA-R1	49.96154360798417	6.5790169999999994	SF	100.0	0.9999650412680231							
RIBO-HELA-R1.0-raw.fastq							89.93038747515627	52.0	76.0	76	50.0	51.551193999999995
RIBO-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz							85.63802081427822	63.0	32.89382067533943	32	30.0	29.976156
RIBO-HELA-R1.2-filtered.unmapped.fastq.gz							72.08441440286066	56.0	31.185040023049535	30	40.0	13.168161999999999
RIBO-HELA-R1.bowtie2.log						56.07						
RIBO-HELA-R2	38.43369275837265	4.1638589999999995	SF	100.0	0.9999289158368311							
RIBO-HELA-R2.0-raw.fastq							88.71530756417482	53.0	76.0	76	50.0	43.295063
RIBO-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz							87.13132616718298	64.0	35.135063901262505	34	40.0	31.958679999999998
RIBO-HELA-R2.2-filtered.unmapped.fastq.gz							68.90694999381697	57.0	33.657101377466255	32	30.0	10.833877
RIBO-HELA-R2.bowtie2.log						66.1						
RIBO-HELA-R3	37.208908627530946	4.072776999999999	SF	100.0	0.9999312544178244							
RIBO-HELA-R3.0-raw.fastq							90.87771174749639	55.0	76.0	76	50.0	42.037631
RIBO-HELA-R3.1-trimmed.SE.paired.trim.fastq.gz							90.3028383331335	64.0	35.2815540906676	34	40.0	32.640039
RIBO-HELA-R3.2-filtered.unmapped.fastq.gz							77.22407367591407	57.0	33.82783291051905	32	30.0	10.945704
RIBO-HELA-R3.bowtie2.log						66.47						
RIBO-RRNA-KO-R1	48.920350045933816	3.9900909999999996	SF	100.0	0.9999418584252655							
RIBO-RRNA-KO-R1.0-raw.fastq							92.39516681074552	58.0	76.0	76	50.0	54.363257999999995
RIBO-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz							92.56365312167777	69.0	34.8435243113351	34	40.0	46.854645999999995
RIBO-RRNA-KO-R1.2-filtered.unmapped.fastq.gz							66.16850281027543	57.0	32.261029417624485	30	30.0	8.156301
RIBO-RRNA-KO-R1.bowtie2.log						82.59						
RIBO-RRNA-KO-R2	31.043134423157927	3.874294	SF	100.0	0.9999295389498619							
RIBO-RRNA-KO-R2.0-raw.fastq							90.00559304583224	55.0	76.0	76	50.0	50.180944
RIBO-RRNA-KO-R2.1-trimmed.SE.paired.trim.fastq.gz							89.53160707201712	63.0	34.46997371519206	32	30.0	40.838418999999995
RIBO-RRNA-KO-R2.2-filtered.unmapped.fastq.gz							72.65554319238885	56.0	34.058753487580525	32	20.0	12.480357
RIBO-RRNA-KO-R2.bowtie2.log						69.44						
RIBO-RRNA-KO-R3	38.27555095265266	4.157023	SF	100.0	0.9999360145636627							
RIBO-RRNA-KO-R3.0-raw.fastq							89.91098919644831	55.0	76.0	76	50.0	44.792721
RIBO-RRNA-KO-R3.1-trimmed.SE.paired.trim.fastq.gz							89.51335916619682	68.0	33.04154615120573	32	40.0	35.058434
RIBO-RRNA-KO-R3.2-filtered.unmapped.fastq.gz							73.10194858233069	58.0	30.558677927246286	30	40.0	10.860778999999999
RIBO-RRNA-KO-R3.bowtie2.log						69.02						
RNA-HELA-R1	47.251214050388846	26.684541	SF	100.0	0.9999519207618179							
RNA-HELA-R1.0-raw.fastq							75.28543076211476	48.0	76.0	76	50.0	64.429688
RNA-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz							71.96819125117474	47.0	58.88487646158124	55	30.0	56.473768
RNA-HELA-R2	39.523288218936585	24.831569	SF	100.0	0.9999254596193696							
RNA-HELA-R2.0-raw.fastq							76.29183621701519	48.0	76.0	76	50.0	65.892929
RNA-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz							75.13302194070246	48.0	60.55379944734559	57	30.0	62.82769
RNA-HELA-R3	44.24608575745441	29.663444	SF	100.0	0.9999512877414236							
RNA-HELA-R3.0-raw.fastq							74.97228569078919	49.0	76.0	76	40.0	68.16078
RNA-HELA-R3.1-trimmed.SE.paired.trim.fastq.gz							74.38859964002194	49.0	61.79342312505711	58	50.0	67.041962
RNA-RRNA-KO-R1	51.17889276128751	27.920669	SF	100.0	0.9999486773843187							
RNA-RRNA-KO-R1.0-raw.fastq							77.37198159063405	50.0	76.0	76	50.0	57.235828999999995
RNA-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz							76.22223214129338	49.0	60.03267015790492	56	50.0	54.555046999999995
RNA-RRNA-KO-R2	51.06415951675907	30.811905	SF	100.0	0.9999584585513218							
RNA-RRNA-KO-R2.0-raw.fastq							73.06572237004272	49.0	76.0	76	50.0	61.03512
RNA-RRNA-KO-R2.1-trimmed.SE.paired.trim.fastq.gz							72.62599585500124	48.0	58.17167526044384	54	30.0	60.339591
RNA-RRNA-KO-R3	49.490027940405945	27.980235	SF	100.0	0.999942604252353							
RNA-RRNA-KO-R3.0-raw.fastq							82.00323988538301	50.0	76.0	76	50.0	58.610291999999994
RNA-RRNA-KO-R3.1-trimmed.SE.paired.trim.fastq.gz							81.39469568497645	49.0	55.65673159457353	51	40.0	56.537116999999995
