Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
RIBO-HELA-R1	1.10.3	none	vb	[]	1	['SF']	1001	30.00001764552942	5.009463119009378	True	True	4096	mapping	False	99445	0	116667	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	13168162	6579017	0	0	4324507	61715437	49.96154360798417	quant	Tue Oct 21 17:41:29 2025	Tue Oct 21 17:44:18 2025
RIBO-HELA-R2	1.10.3	none	vb	[]	1	['SF']	1001	30.00001764552942	5.009463119009378	True	True	4096	mapping	False	99445	0	105102	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	10833877	4163859	0	0	5018980	69486177	38.43369275837265	quant	Tue Oct 21 15:46:26 2025	Tue Oct 21 15:48:23 2025
RIBO-HELA-R3	1.10.3	none	vb	[]	1	['SF']	1001	30.00001764552942	5.009463119009378	True	True	4096	mapping	False	99445	0	89042	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	10945704	4072777	0	0	5203716	68705140	37.208908627530946	quant	Tue Oct 21 16:10:05 2025	Tue Oct 21 16:12:23 2025
RIBO-RRNA-KO-R1	1.10.3	none	vb	[]	1	['SF']	1001	30.00001764552942	5.009463119009378	True	True	4096	mapping	False	99445	0	107294	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	8156301	3990091	0	0	2952371	37002388	48.920350045933816	quant	Tue Oct 21 16:08:30 2025	Tue Oct 21 16:10:03 2025
RIBO-RRNA-KO-R2	1.10.3	none	vb	[]	1	['SF']	1001	30.00001764552942	5.009463119009378	True	True	4096	mapping	False	99445	0	104236	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	12480357	3874294	0	0	6371165	75089712	31.043134423157927	quant	Tue Oct 21 17:44:19 2025	Tue Oct 21 17:46:30 2025
RIBO-RRNA-KO-R3	1.10.3	none	vb	[]	1	['SF']	1001	30.00001764552942	5.009463119009378	True	True	4096	mapping	False	99445	0	104372	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	10860779	4157023	0	0	4298590	46370215	38.27555095265266	quant	Tue Oct 21 15:48:26 2025	Tue Oct 21 15:50:18 2025
RNA-HELA-R1	1.10.3	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	True	True	4096	mapping	False	99445	0	345276	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	56473768	26684541	0	0	27158759	905432282	47.251214050388846	quant	Tue Oct 21 15:50:20 2025	Tue Oct 21 16:08:29 2025
RNA-HELA-R2	1.10.3	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	True	True	4096	mapping	False	99445	0	338963	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	62827690	24831569	0	0	32611161	944584763	39.523288218936585	quant	Tue Oct 21 17:06:16 2025	Tue Oct 21 17:25:38 2025
RNA-HELA-R3	1.10.3	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	True	True	4096	mapping	False	99445	0	349871	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	67041962	29663444	0	0	32464691	847399032	44.24608575745441	quant	Tue Oct 21 16:12:25 2025	Tue Oct 21 16:31:26 2025
RNA-RRNA-KO-R1	1.10.3	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	True	True	4096	mapping	False	99445	0	324140	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	54555047	27920669	0	0	23889922	602025403	51.17889276128751	quant	Tue Oct 21 17:25:40 2025	Tue Oct 21 17:41:28 2025
