Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
RIBO-HELA-R1.0-raw.fastq - illumina_universal_adapter	(1, 32.7926934146278)	(2, 32.95544231235459)	(3, 32.96125595073511)	(4, 32.965845563150296)	(5, 32.97287158858047)	(6, 32.97776963226109)	(7, 32.98375203491892)	(8, 32.99291380137577)	(9, 33.00277002313467)	(10, 33.01433716549805)	(11, 33.02482382852277)	(12, 33.0444761376429)	(13, 33.07593612671707)	(14, 33.110455210794925)	(15, 33.18003846816816)	(16, 33.283101066485486)	(17, 33.55201239373815)	(18, 33.725362403827155)	(19, 33.9244344175617)	(20, 34.143449713308286)	(21, 34.41381202538199)	(22, 34.617413517134054)	(23, 34.87096341551274)	(24, 35.10298713934734)	(25, 35.635323984930395)	(26, 35.95981501417795)	(27, 36.508114632611615)	(28, 37.375060604803835)	(29, 41.57970424506559)	(30, 45.38182180610598)	(31, 53.39404553849907)	(32, 60.57800911459005)	(33, 66.82605450418859)	(34, 70.16207228876212)	(35, 74.39422838586435)	(36, 77.24729906352897)	(37, 80.0922865142561)	(38, 81.65685745319497)	(39, 83.96534326634607)	(40, 87.01075478484553)	(41, 89.34215956278335)	(42, 90.26820018950482)	(43, 90.65712037630011)	(44, 91.01014226750985)	(45, 91.34941277984754)	(46, 91.63383296223944)	(47, 91.85205875153929)	(48, 92.02066396367076)	(49, 92.15783634419796)	(50, 92.22587550542477)	(51, 92.27434382994116)	(52, 92.31502571986985)	(53, 92.33450344525482)	(54, 92.3466932696069)	(55, 92.35420618967623)	(56, 92.35915854829668)	(57, 92.3623553704692)	(58, 92.36474910746006)	(59, 92.36650270408867)	(60, 92.36805455951225)	(61, 92.3696549104178)	(62, 92.37062094041896)	(63, 92.37154235457669)	(64, 92.37236483795118)	(65, 92.37301661722908)
RIBO-HELA-R1.0-raw.fastq - polya	(1, 0.26193379730448146)	(2, 0.27416241804215047)	(3, 0.29268963198020204)	(4, 0.3073527259135841)	(5, 0.31560859676693426)	(6, 0.32019626936283957)	(7, 0.32495464605533675)	(8, 0.3266985435875646)	(9, 0.3281553478664335)	(10, 0.3302542323268012)	(11, 0.331714916244229)	(12, 0.33283807160703205)	(13, 0.3370552387205619)	(14, 0.33815317643273207)	(15, 0.33955372595249683)	(16, 0.3412782252919302)	(17, 0.3436506242707007)	(18, 0.34556134626096147)	(19, 0.34694637722649063)	(20, 0.3479570230710854)	(21, 0.34874071005998425)	(22, 0.3493304151209378)	(23, 0.3497746337359325)	(24, 0.3501257410255134)	(25, 0.3503294220498559)	(26, 0.3505660800019491)	(27, 0.3507387239178204)	(28, 0.3509094280144122)	(29, 0.35105103482181227)	(30, 0.3511693637978589)	(31, 0.3512663547618315)	(32, 0.3513342484366124)	(33, 0.35141572084634937)	(34, 0.35147003578617403)	(35, 0.3515049525332042)	(36, 0.35152241090671926)	(37, 0.35155538783446993)	(38, 0.351572846207985)	(39, 0.35158060548510284)	(40, 0.35158060548510284)	(41, 0.3515864249429412)	(42, 0.35158836476222066)	(43, 0.3515903045815001)	(44, 0.3515980638586179)	(45, 0.3516058231357357)	(46, 0.3516116425935741)	(47, 0.3516174620514124)	(48, 0.3516271611478097)	(49, 0.35164073988276584)	(50, 0.3516601380755604)	(51, 0.3516717769912371)	(52, 0.3516834159069138)	(53, 0.3516950548225905)	(54, 0.35171057337682615)	(55, 0.35173191138890014)	(56, 0.3517668281359303)	(57, 0.35183278199143164)	(58, 0.3521179354255112)	(59, 0.35241472777526744)	(60, 0.353128581270106)	(61, 0.35775699007087985)	(62, 0.3606046447731162)	(63, 0.3750795762363913)	(64, 0.376423870997052)	(65, 0.3778108417818606)
RIBO-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz - illumina_universal_adapter	(1, 32.7926934146278)	(2, 32.95544231235459)	(3, 32.96125595073511)	(4, 32.965845563150296)	(5, 32.97287158858047)	(6, 32.97776963226109)	(7, 32.98375203491892)	(8, 32.99291380137577)	(9, 33.00277002313467)	(10, 33.01433716549805)	(11, 33.02482382852277)	(12, 33.0444761376429)	(13, 33.07593612671707)	(14, 33.110455210794925)	(15, 33.18003846816816)	(16, 33.283101066485486)	(17, 33.55201239373815)	(18, 33.725325547260844)	(19, 33.92439756099539)	(20, 34.143393458549184)	(21, 34.413755770622885)	(22, 34.617310706712246)	(23, 34.87083150780174)	(24, 35.10281837507003)	(25, 35.63509120661686)	(26, 35.95949494399684)	(27, 36.507623858333915)	(28, 37.37430795492341)	(29, 41.57826101952168)	(30, 45.37950178224776)	(31, 53.39021245560287)	(32, 60.57264745410164)	(33, 66.81864051490253)	(34, 70.15367675092065)	(35, 74.38398614006884)	(36, 77.2353905129724)	(37, 80.0788047702639)	(38, 81.64164733022479)	(39, 83.94729518777004)	(40, 86.98867188216823)	(41, 89.31701950492165)	(42, 90.24109509471303)	(43, 90.62829078216889)	(44, 90.98036798138953)	(45, 91.318158411617)	(46, 91.59722275297833)	(47, 91.81481810101236)	(48, 91.98283166826359)	(49, 92.1196160849349)	(50, 92.18739143073971)	(51, 92.23557848146058)	(52, 92.27607996819627)	(53, 92.29548979990648)	(54, 92.3075903925717)	(55, 92.31505481715904)	(56, 92.31995092102038)	(57, 92.32312252554227)	(58, 92.32549298470177)	(59, 92.32723494241472)	(60, 92.3287654598262)	(61, 92.33032895416545)	(62, 92.33126976651597)	(63, 92.33215044446885)	(64, 92.33291473326496)	(65, 92.33352189669942)
RIBO-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz - polya	(1, 0.26193379730448146)	(2, 0.27416241804215047)	(3, 0.29268963198020204)	(4, 0.3073527259135841)	(5, 0.31560859676693426)	(6, 0.32019626936283957)	(7, 0.32495464605533675)	(8, 0.3266985435875646)	(9, 0.3281553478664335)	(10, 0.3302542323268012)	(11, 0.331714916244229)	(12, 0.33283807160703205)	(13, 0.3370552387205619)	(14, 0.33815317643273207)	(15, 0.33955372595249683)	(16, 0.3412782252919302)	(17, 0.3436506242707007)	(18, 0.34556134626096147)	(19, 0.34694637722649063)	(20, 0.34795314343252653)	(21, 0.3487348906021459)	(22, 0.34932071602454057)	(23, 0.34976299482025575)	(24, 0.35011216229055725)	(25, 0.3503139034956203)	(26, 0.35054862162843403)	(27, 0.35070574699006973)	(28, 0.35087257144810263)	(29, 0.35100641897838486)	(30, 0.3511189284965931)	(31, 0.3512062203641685)	(32, 0.35126247512327263)	(33, 0.3513361882558918)	(34, 0.35138856337643704)	(35, 0.3514215403041877)	(36, 0.3514389986777028)	(37, 0.3514603366897768)	(38, 0.35147391542473294)	(39, 0.3514797348825713)	(40, 0.3514797348825713)	(41, 0.3514855543404097)	(42, 0.3514855543404097)	(43, 0.3514874941596891)	(44, 0.351491373798248)	(45, 0.351491373798248)	(46, 0.35149331361752745)	(47, 0.35149331361752745)	(48, 0.35149719325608636)	(49, 0.35149913307536584)	(50, 0.3515049525332042)	(51, 0.3515088321717631)	(52, 0.351512711810322)	(53, 0.35151659144888087)	(54, 0.35151853126816035)	(55, 0.3515204710874398)	(56, 0.3515204710874398)	(57, 0.35152241090671926)	(58, 0.3515321100031165)	(59, 0.35153598964167543)	(60, 0.3515612072923083)	(61, 0.3515864249429412)	(62, 0.3516271611478097)	(63, 0.35186187928062346)	(64, 0.35186187928062346)	(65, 0.3518715783770207)
RIBO-HELA-R1.2-filtered.unmapped.fastq.gz - illumina_universal_adapter	(1, 32.908101464257484)	(2, 33.07142312777172)	(3, 33.077257226218094)	(4, 33.08186299095754)	(5, 33.088913743234066)	(6, 33.0938290247079)	(7, 33.099832481367436)	(8, 33.109026491031166)	(9, 33.11891740000882)	(10, 33.130525250871585)	(11, 33.14104881984092)	(12, 33.16077029176624)	(13, 33.19234099867424)	(14, 33.22698156652648)	(15, 33.296809709793024)	(16, 33.40023501858706)	(17, 33.67007521159314)	(18, 33.84399830992183)	(19, 34.04377092218759)	(20, 34.26353753683663)	(21, 34.53485134096179)	(22, 34.73911875913768)	(23, 34.99353178157735)	(24, 35.226335085347294)	(25, 35.760479209770686)	(26, 36.08602462838282)	(27, 36.63608258490468)	(28, 37.505814875315856)	(29, 41.72455521812608)	(30, 45.53915625154211)	(31, 53.57804556923388)	(32, 60.785713096869685)	(33, 67.05362747286108)	(34, 70.40033653618265)	(35, 74.64532156209397)	(36, 77.5066655596739)	(37, 80.35997185539028)	(38, 81.92823474917124)	(39, 84.2418139393684)	(40, 87.29302796035967)	(41, 89.62929336453547)	(42, 90.55647702212977)	(43, 90.94483487136222)	(44, 91.29808301102551)	(45, 91.637005781831)	(46, 91.91698800116527)	(47, 92.1352868446336)	(48, 92.30381967983317)	(49, 92.44092780658436)	(50, 92.5088891162139)	(51, 92.55720097982486)	(52, 92.59767369947735)	(53, 92.61707397479152)	(54, 92.62916654054023)	(55, 92.63660467539627)	(56, 92.64149075717819)	(57, 92.6445859245221)	(58, 92.64681483433895)	(59, 92.64842860397927)	(60, 92.64976984316164)	(61, 92.6511169222824)	(62, 92.65179046184277)	(63, 92.6523997620809)	(64, 92.65285138398266)	(65, 92.65318620711672)
RIBO-HELA-R2.0-raw.fastq - illumina_universal_adapter	(1, 20.10622781632169)	(2, 20.201568941012972)	(3, 20.20628079464857)	(4, 20.20877992486118)	(5, 20.2128242658984)	(6, 20.21587311236849)	(7, 20.219416241523888)	(8, 20.225047368564862)	(9, 20.231334459543344)	(10, 20.2372727809635)	(11, 20.243206482919312)	(12, 20.25377812708114)	(13, 20.269119368182928)	(14, 20.283869317848087)	(15, 20.313420031286245)	(16, 20.35800248171483)	(17, 20.496202996632665)	(18, 20.58340462514167)	(19, 20.688841589166877)	(20, 20.810952509758444)	(21, 20.970434896930396)	(22, 21.09615823864259)	(23, 21.251940434871294)	(24, 21.40727454305818)	(25, 21.728013191711952)	(26, 21.960386106840865)	(27, 22.298244490370646)	(28, 22.7869330043474)	(29, 24.975050850486117)	(30, 26.92557116731762)	(31, 31.559577589712713)	(32, 37.076693940831085)	(33, 44.14175121999476)	(34, 49.1013628967349)	(35, 55.23170159147245)	(36, 60.59813794473518)	(37, 66.08755136815483)	(38, 69.27518964460221)	(39, 74.1769887250193)	(40, 80.85075427653264)	(41, 86.91868862738461)	(42, 89.07846836947668)	(43, 89.99559834339541)	(44, 90.86209667832104)	(45, 91.70369841013974)	(46, 92.38276428885206)	(47, 92.9440707823892)	(48, 93.40606803135961)	(49, 93.79478902709992)	(50, 93.99479797500237)	(51, 94.11896686696124)	(52, 94.19976591788306)	(53, 94.21873805796287)	(54, 94.22581969680931)	(55, 94.22960303811084)	(56, 94.23202594716169)	(57, 94.23327089280365)	(58, 94.23409777692204)	(59, 94.23467059050128)	(60, 94.23508634229265)	(61, 94.23554366926317)	(62, 94.23583700524931)	(63, 94.23602871301978)	(64, 94.23620425266502)	(65, 94.23635207552418)
RIBO-HELA-R2.0-raw.fastq - polya	(1, 0.5065935577920282)	(2, 0.5368602882042232)	(3, 0.5635584824071049)	(4, 0.5863924946823613)	(5, 0.5981906066287512)	(6, 0.603535326880111)	(7, 0.6097392675003153)	(8, 0.6117649026171875)	(9, 0.6138759978245094)	(10, 0.6170334017067951)	(11, 0.6189989837871352)	(12, 0.6206481325595946)	(13, 0.6244938366298254)	(14, 0.6257110654856883)	(15, 0.6272585860424779)	(16, 0.6295567695559191)	(17, 0.6327003150451589)	(18, 0.6355297369586921)	(19, 0.6372089122494174)	(20, 0.6388603707540511)	(21, 0.6401445818429691)	(22, 0.6411793418570612)	(23, 0.641828376598043)	(24, 0.6423111106224745)	(25, 0.6427638181286397)	(26, 0.643142614205227)	(27, 0.6434844545670253)	(28, 0.6437246667131539)	(29, 0.6439487107340622)	(30, 0.644094223861044)	(31, 0.6442836218993375)	(32, 0.6444083474367505)	(33, 0.644530763241989)	(34, 0.644685515297668)	(35, 0.6447802143168149)	(36, 0.6448656744072644)	(37, 0.644907249586402)	(38, 0.6449418955690167)	(39, 0.6449534442298883)	(40, 0.6449649928907598)	(41, 0.6449788512838057)	(42, 0.6449903999446773)	(43, 0.6449996388733745)	(44, 0.6450042583377231)	(45, 0.6450088778020718)	(46, 0.645018116730769)	(47, 0.6450204264629433)	(48, 0.645025045927292)	(49, 0.6450504529812094)	(50, 0.6450712405707782)	(51, 0.6450897184281728)	(52, 0.6451012670890444)	(53, 0.6451243644107875)	(54, 0.6451613201255765)	(55, 0.6451821077151453)	(56, 0.6452121342334113)	(57, 0.6453045235203838)	(58, 0.645623266560439)	(59, 0.6460782837987786)	(60, 0.6469975572041551)	(61, 0.6521020653093864)	(62, 0.6560147516126723)	(63, 0.6702380823420906)	(64, 0.671799461291926)	(65, 0.673416273813945)
RIBO-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz - illumina_universal_adapter	(1, 20.10622781632169)	(2, 20.201568941012972)	(3, 20.20628079464857)	(4, 20.20877992486118)	(5, 20.2128242658984)	(6, 20.21587311236849)	(7, 20.219416241523888)	(8, 20.225047368564862)	(9, 20.231334459543344)	(10, 20.2372727809635)	(11, 20.243206482919312)	(12, 20.25377812708114)	(13, 20.269119368182928)	(14, 20.283869317848087)	(15, 20.313420031286245)	(16, 20.35800248171483)	(17, 20.496202996632665)	(18, 20.583369979159055)	(19, 20.688804633452087)	(20, 20.810910934579308)	(21, 20.970391012019086)	(22, 21.096065849355618)	(23, 21.25180647040518)	(24, 21.40706666716249)	(25, 21.727768360101475)	(26, 21.96006274433646)	(27, 22.297821809382746)	(28, 22.786367119964694)	(29, 24.974041497525942)	(30, 26.924062912207795)	(31, 31.557057671910535)	(32, 37.07267962631213)	(33, 44.135022970170986)	(34, 49.092994737067364)	(35, 55.22049708069486)	(36, 60.58340416319523)	(37, 66.06977566934133)	(38, 69.253933179402)	(39, 74.14900631972749)	(40, 80.81419583567761)	(41, 86.8735333633768)	(42, 89.02917637514467)	(43, 89.94428302367871)	(44, 90.80922459911883)	(45, 91.64880069582068)	(46, 92.32358664081399)	(47, 92.8835835162083)	(48, 93.34404941274713)	(49, 93.73166173704378)	(50, 93.93089230520349)	(51, 94.05440523322486)	(52, 94.13483241726661)	(53, 94.1536983096664)	(54, 94.16073375386935)	(55, 94.16447090052739)	(56, 94.1668614733278)	(57, 94.16809948977324)	(58, 94.16890327656989)	(59, 94.16946223175607)	(60, 94.16987105435093)	(61, 94.17032145212492)	(62, 94.17060092971802)	(63, 94.17078339855979)	(64, 94.17093584088329)	(65, 94.1710698053494)
RIBO-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz - polya	(1, 0.5065935577920282)	(2, 0.5368602882042232)	(3, 0.5635584824071049)	(4, 0.5863924946823613)	(5, 0.5981906066287512)	(6, 0.603535326880111)	(7, 0.6097392675003153)	(8, 0.6117649026171875)	(9, 0.6138759978245094)	(10, 0.6170334017067951)	(11, 0.6189989837871352)	(12, 0.6206481325595946)	(13, 0.6244938366298254)	(14, 0.6257110654856883)	(15, 0.6272585860424779)	(16, 0.6295567695559191)	(17, 0.6327003150451589)	(18, 0.6355251174943434)	(19, 0.6372042927850688)	(20, 0.6388557512897025)	(21, 0.6401399623786204)	(22, 0.6411747223927126)	(23, 0.6418098987406485)	(24, 0.6422880133007313)	(25, 0.642736101342548)	(26, 0.643105658490438)	(27, 0.6434474988522363)	(28, 0.6436830915340163)	(29, 0.643895586894053)	(30, 0.644036480556686)	(31, 0.6442143299341082)	(32, 0.6443298165428238)	(33, 0.6444406836871909)	(34, 0.6445954357428698)	(35, 0.6446878250298423)	(36, 0.6447640461915947)	(37, 0.6448056213707323)	(38, 0.6448379576211727)	(39, 0.6448471965498699)	(40, 0.6448587452107415)	(41, 0.644870293871613)	(42, 0.644877223068136)	(43, 0.6448841522646589)	(44, 0.6448841522646589)	(45, 0.6448841522646589)	(46, 0.6448864619968332)	(47, 0.6448864619968332)	(48, 0.6448887717290075)	(49, 0.6448910814611818)	(50, 0.6448980106577048)	(51, 0.6448980106577048)	(52, 0.6448980106577048)	(53, 0.6448980106577048)	(54, 0.6448980106577048)	(55, 0.6449003203898791)	(56, 0.6449003203898791)	(57, 0.6449003203898791)	(58, 0.644907249586402)	(59, 0.6449187982472736)	(60, 0.6449557539620626)	(61, 0.6449857804803286)	(62, 0.645055072445558)	(63, 0.6452352315551545)	(64, 0.6452375412873288)	(65, 0.6452375412873288)
RIBO-HELA-R2.2-filtered.unmapped.fastq.gz - illumina_universal_adapter	(1, 20.242170661022953)	(2, 20.33815640905313)	(3, 20.342900120618168)	(4, 20.345416148026683)	(5, 20.34948783378667)	(6, 20.352557294211106)	(7, 20.35612437928011)	(8, 20.36179357967009)	(9, 20.368123179121085)	(10, 20.374101650902315)	(11, 20.38007547198593)	(12, 20.39071859347278)	(13, 20.406163560244824)	(14, 20.42101323772243)	(15, 20.45076375035139)	(16, 20.495647633012336)	(17, 20.63476627605225)	(18, 20.722520289307806)	(19, 20.828667811621912)	(20, 20.95159970162054)	(21, 21.112158060655375)	(22, 21.238682614559877)	(23, 21.395476233877165)	(24, 21.551786180642722)	(25, 21.8746538863636)	(26, 22.10851421582227)	(27, 22.44855694782715)	(28, 22.940398449913186)	(29, 25.142847921188164)	(30, 27.106039928424835)	(31, 31.77033850637405)	(32, 37.32322029836039)	(33, 44.43325564110436)	(34, 49.42467266239254)	(35, 55.593362626682385)	(36, 60.99236911210346)	(37, 66.51568874471417)	(38, 69.72123323199696)	(39, 74.64913102528978)	(40, 81.35808322986112)	(41, 87.45781962599509)	(42, 89.62785373490898)	(43, 90.54903368851409)	(44, 91.41964893232424)	(45, 92.26479695600679)	(46, 92.94402436630699)	(47, 93.50762613255823)	(48, 93.9710611736254)	(49, 94.36092450380718)	(50, 94.56139747510372)	(51, 94.68562690973631)	(52, 94.76630721192282)	(53, 94.78524485260206)	(54, 94.79229763553185)	(55, 94.79603912176134)	(56, 94.79841795359027)	(57, 94.7996317856672)	(58, 94.80036659589003)	(59, 94.80087817262743)	(60, 94.80122697494839)	(61, 94.80161995889667)	(62, 94.80182226424283)	(63, 94.80194085703195)	(64, 94.80201061749614)	(65, 94.80208270330914)
