Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
RIBO-HELA-R1.0-raw.fastq	(1, 31.325636608921222)	(2, 31.612270028120008)	(3, 31.68827193410884)	(4, 31.687462854885574)	(5, 31.79912294562954)	(6, 35.36029528239443)	(7, 35.530897228103)	(8, 35.482209277247776)	(9, 35.46221117594289)	(10, 35.4549816537712)	(12, 35.56702298689726)	(14, 35.56731397918737)	(16, 35.36548618059166)	(18, 35.438955759201235)	(20, 35.41077840990453)	(22, 35.35822956884374)	(24, 35.35426705150612)	(26, 35.188430601626806)	(28, 35.307988249505925)	(30, 35.34539099133184)	(32, 35.28376306861098)	(34, 35.06129824073522)	(36, 34.794962944990175)	(38, 34.81209689342986)	(40, 34.29686471471447)	(42, 34.35883921524689)	(44, 34.963105898187344)	(46, 35.03693293699463)	(48, 34.92007702091246)	(50, 35.14292307177212)	(52, 35.111644814667144)	(54, 35.072446071763146)	(56, 35.023171548655114)	(58, 35.005182692761686)	(60, 34.99210127897329)	(62, 34.893036066245145)	(64, 34.64229827538039)	(66, 34.171857852603765)	(68, 33.9481621802979)	(70, 33.312958687242045)	(72, 32.370356426662006)	(74, 32.79550028462968)	(76, 32.3827389720595)
RIBO-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	(1, 31.325636608921222)	(2, 31.612270028120008)	(3, 31.68827193410884)	(4, 31.687462854885574)	(5, 31.79912294562954)	(6, 35.36029528239443)	(7, 35.530897228103)	(8, 35.482209277247776)	(9, 35.46221117594289)	(10, 35.4549816537712)	(12, 35.56702298689726)	(14, 35.56731397918737)	(16, 35.36548618059166)	(18, 35.438955759201235)	(20, 35.41077840990453)	(22, 35.358231833881014)	(24, 35.35426915825653)	(26, 35.18843923187153)	(28, 35.3145961253134)	(30, 35.36474981257759)	(32, 35.318156622052946)	(34, 35.112545440566805)	(36, 34.877551588728345)	(38, 34.92412224863027)	(40, 34.42798148914487)	(42, 34.50942865670464)	(44, 35.13373913410362)	(46, 35.19806503577965)	(48, 35.114177845549634)	(50, 35.3341667887701)	(52, 35.34323964036561)	(54, 35.341815461762984)	(56, 35.30832274670142)	(58, 35.293240014650934)	(60, 35.28646409742828)	(62, 35.20816160528562)	(64, 34.99898489376721)	(66, 34.53852954343827)	(68, 34.32884317050627)	(70, 33.852858742228065)	(72, 33.1483927230633)	(74, 34.12277246908133)	(76, 34.18525328635186)
RIBO-HELA-R1.2-filtered.unmapped.fastq.gz	(1, 31.335061403545485)	(2, 31.618436782812985)	(3, 31.692604954155996)	(4, 31.691404885750853)	(5, 31.80056888786452)	(6, 35.36185217928494)	(7, 35.53306400835267)	(8, 35.48458638782388)	(9, 35.46408989767552)	(10, 35.45758380725245)	(12, 35.56923740429923)	(14, 35.56844144989708)	(16, 35.36738915139953)	(18, 35.44237969313265)	(20, 35.41360198542331)	(22, 35.36101938550041)	(24, 35.35910041730843)	(26, 35.20061806423152)	(28, 35.330400490213066)	(30, 35.377937986467316)	(32, 35.33096227472092)	(34, 35.12593592058499)	(36, 34.88879984831348)	(38, 34.933857189319625)	(40, 34.43152164250509)	(42, 34.511893459413606)	(44, 35.13533639597987)	(46, 35.19916927527517)	(48, 35.11474523777597)	(50, 35.334642957025466)	(52, 35.34350101256437)	(54, 35.341976595637426)	(56, 35.30844095113542)	(58, 35.29331459145611)	(60, 35.28650459692345)	(62, 35.20819590600682)	(64, 34.99900772512457)	(66, 34.538565271318056)	(68, 34.328856003600976)	(70, 33.85286515412957)	(72, 33.14841156284771)	(74, 34.122791208162994)	(76, 34.185281566421295)
RIBO-HELA-R2.0-raw.fastq	(1, 31.28928309909146)	(2, 31.620662591483004)	(3, 31.67499924875961)	(4, 31.684661158709943)	(5, 31.790676964715352)	(6, 35.37470646479946)	(7, 35.54100935249823)	(8, 35.4636782027549)	(9, 35.44303166852997)	(10, 35.42875214201675)	(12, 35.5617804852253)	(14, 35.54881791025457)	(16, 35.29435408143418)	(18, 35.417489645412914)	(20, 35.39353707604029)	(22, 35.360576805258376)	(24, 35.32959741853246)	(26, 35.163808850445605)	(28, 35.27800949267588)	(30, 35.32586834438837)	(32, 35.210469609433304)	(34, 34.96203662990397)	(36, 34.952523281927085)	(38, 34.818022022510974)	(40, 34.53898022968577)	(42, 34.49273514164883)	(44, 34.57996173836264)	(46, 34.75488578224265)	(48, 34.59386775808595)	(50, 34.7883545521114)	(52, 34.89226612281405)	(54, 34.585774664423056)	(56, 34.68155883039135)	(58, 34.42215813382694)	(60, 34.68963648349467)	(62, 34.520687116219236)	(64, 34.367086923975606)	(66, 34.23396206860814)	(68, 34.291662481239484)	(70, 33.877011669898714)	(72, 32.72327414098)	(74, 32.485047752442355)	(76, 31.718801564049)
RIBO-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz	(1, 31.28928309909146)	(2, 31.620662591483004)	(3, 31.67499924875961)	(4, 31.684661158709943)	(5, 31.790676964715352)	(6, 35.37470646479946)	(7, 35.54100935249823)	(8, 35.4636782027549)	(9, 35.44303166852997)	(10, 35.42875214201675)	(12, 35.5617804852253)	(14, 35.54881791025457)	(16, 35.29435408143418)	(18, 35.417489645412914)	(20, 35.39353707604029)	(22, 35.36057834572637)	(24, 35.3295996658094)	(26, 35.16381985872239)	(28, 35.28758934382502)	(30, 35.354891648372714)	(32, 35.26820993641468)	(34, 35.04641513906668)	(36, 35.071038762707815)	(38, 34.974770722993355)	(40, 34.71960534771085)	(42, 34.69883593758478)	(44, 34.80650899621865)	(46, 34.97850813535804)	(48, 34.84441690647096)	(50, 35.04440049197626)	(52, 35.185309091886)	(54, 34.90880030637603)	(56, 35.023188155235815)	(58, 34.778350676046344)	(60, 35.05910152805299)	(62, 34.907562830980446)	(64, 34.78705153455003)	(66, 34.66946967351832)	(68, 34.761405216059394)	(70, 34.49899657854884)	(72, 33.5579142805352)	(74, 34.09851197263174)	(76, 33.79990285406017)
RIBO-HELA-R2.2-filtered.unmapped.fastq.gz	(1, 31.307273777104296)	(2, 31.62871550917663)	(3, 31.682190183721392)	(4, 31.689613836532303)	(5, 31.792284218269238)	(6, 35.37630496540334)	(7, 35.542382818872)	(8, 35.465963230049944)	(9, 35.44486745639698)	(10, 35.431166466349495)	(12, 35.563265695214994)	(14, 35.549677205542764)	(16, 35.29601189192681)	(18, 35.41957046342876)	(20, 35.39545714276346)	(22, 35.36319256008932)	(24, 35.335205708285514)	(26, 35.18048045904257)	(28, 35.31274649716359)	(30, 35.37500844292804)	(32, 35.28982168812527)	(34, 35.066366430964315)	(36, 35.0907148717976)	(38, 34.989122849724325)	(40, 34.72580561866131)	(42, 34.702766487033585)	(44, 34.80903404127769)	(46, 34.98018040588381)	(48, 34.84539245415944)	(50, 35.04506209924029)	(52, 35.1856624800415)	(54, 34.9090584311152)	(56, 35.023388999040975)	(58, 34.77845650296453)	(60, 35.0591544043906)	(62, 34.90760824805167)	(64, 34.78708129001829)	(66, 34.669494150674126)	(68, 34.76141767359633)	(70, 34.49900446191094)	(72, 33.55792262511341)	(74, 34.09851531607419)	(76, 33.79990672047976)
RIBO-HELA-R3.0-raw.fastq	(1, 31.21335234138194)	(2, 31.61615919793387)	(3, 31.658394094567317)	(4, 31.676174092683766)	(5, 31.782800343815758)	(6, 35.36459904222481)	(7, 35.53398503831008)	(8, 35.426868631108164)	(9, 35.41736976091731)	(10, 35.40605954935948)	(12, 35.55091573785402)	(14, 35.529571231071515)	(16, 35.26729606861053)	(18, 35.4040407985883)	(20, 35.37908651417584)	(22, 35.36341390170155)	(24, 35.319649649144125)	(26, 35.16340656779636)	(28, 35.28277008521246)	(30, 35.33864382129431)	(32, 35.21884496773855)	(34, 34.98661998817202)	(36, 35.02340753930687)	(38, 34.83477368170438)	(40, 34.45738831001205)	(42, 34.43564184194871)	(44, 34.89330936607727)	(46, 34.95148980921404)	(48, 34.77809031389043)	(50, 35.11521232012337)	(52, 35.09186048091054)	(54, 35.018747785763665)	(56, 35.00087987831664)	(58, 34.99699623891746)	(60, 35.01819585171201)	(62, 34.83024884299498)	(64, 34.64517530733357)	(66, 34.20724831044832)	(68, 34.272886940275015)	(70, 33.581954142468206)	(72, 32.219341760719104)	(74, 32.66849596020289)	(76, 31.06273272154656)
RIBO-HELA-R3.1-trimmed.SE.paired.trim.fastq.gz	(1, 31.21335234138194)	(2, 31.61615919793387)	(3, 31.658394094567317)	(4, 31.676174092683766)	(5, 31.782800343815758)	(6, 35.36459904222481)	(7, 35.53398503831008)	(8, 35.426868631108164)	(9, 35.41736976091731)	(10, 35.40605954935948)	(12, 35.55091573785402)	(14, 35.529571231071515)	(16, 35.26729606861053)	(18, 35.4040407985883)	(20, 35.37908651417584)	(22, 35.36341509143956)	(24, 35.31965081281352)	(26, 35.16341302124714)	(28, 35.29089715020156)	(30, 35.36345378545832)	(32, 35.26846882442142)	(34, 35.058817895615974)	(36, 35.1122446946101)	(38, 34.968964305205226)	(40, 34.61445978284367)	(42, 34.60227435944423)	(44, 35.07659999842886)	(46, 35.132835993089856)	(48, 34.980729289502854)	(50, 35.32374791489486)	(52, 35.32771160332342)	(54, 35.28321402581335)	(56, 35.28228576091069)	(58, 35.28542429872897)	(60, 35.31004424000901)	(62, 35.138121470183265)	(64, 34.984637694996735)	(66, 34.560275042803866)	(68, 34.649580031971254)	(70, 34.09071069988964)	(72, 32.89827427033843)	(74, 33.84278714037204)	(76, 33.150016005079586)
RIBO-HELA-R3.2-filtered.unmapped.fastq.gz	(1, 31.226672936445997)	(2, 31.622743614144078)	(3, 31.66401677629447)	(4, 31.67992267580614)	(5, 31.784066832739715)	(6, 35.36565809182047)	(7, 35.53502263984162)	(8, 35.428924701095795)	(9, 35.419301033360085)	(10, 35.40816713344598)	(12, 35.55224126343153)	(14, 35.53048519457455)	(16, 35.269061817139615)	(18, 35.4059066193764)	(20, 35.38114779560092)	(22, 35.36600549225476)	(24, 35.3247916478454)	(26, 35.17786226032156)	(28, 35.313273260721374)	(30, 35.381138638057514)	(32, 35.28776527400838)	(34, 35.07683568798885)	(36, 35.13036612834157)	(38, 34.98155731813442)	(40, 34.62203305639514)	(42, 34.60664529928938)	(44, 35.079649857754006)	(46, 35.13492545832278)	(48, 34.98201125168741)	(50, 35.32462880863059)	(52, 35.3281961875034)	(54, 35.28360115782655)	(56, 35.28258882694307)	(58, 35.28560385128395)	(60, 35.31012647204702)	(62, 35.13819823391883)	(64, 34.98468812344103)	(66, 34.56032249164926)	(68, 34.64960999343704)	(70, 34.09072911849614)	(72, 32.898283853913384)	(74, 33.84279643799927)	(76, 33.15001854322642)
RIBO-RRNA-KO-R1.0-raw.fastq	(1, 31.26712823208646)	(2, 31.624424606781293)	(3, 31.67025030030393)	(4, 31.68366592377521)	(5, 31.782472603095275)	(6, 35.3888436561326)	(7, 35.53124864223553)	(8, 35.4283254509875)	(9, 35.414440742311655)	(10, 35.416135866985755)	(12, 35.56320170325333)	(14, 35.547769340829426)	(16, 35.20292612889389)	(18, 35.407730585241964)	(20, 35.381427286789915)	(22, 35.391167643043026)	(24, 35.323521586951244)	(26, 35.188258593699445)	(28, 35.34036372507328)	(30, 35.40028953930612)	(32, 35.28537860994277)	(34, 35.083225530743576)	(36, 35.14601934821493)	(38, 35.03158129338017)	(40, 34.87954068168615)	(42, 34.819622768009964)	(44, 34.9704479632181)	(46, 35.02836067146674)	(48, 34.854260491525366)	(50, 35.20473622092333)	(52, 35.19725221398615)	(54, 35.12047599317907)	(56, 35.10132519099573)	(58, 35.06500789559007)	(60, 35.10632464301533)	(62, 34.88590494337187)	(64, 34.71793532867365)	(66, 34.103552311011235)	(68, 34.258655036826525)	(70, 33.90570415224194)	(72, 32.6602398995292)	(74, 32.94131795780157)	(76, 31.7544985990354)
