Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
RIBO-HELA-R1.0-raw.fastq	(16.0, 13.0)	(17.0, 48.0)	(18.0, 151.0)	(19.0, 1836.0)	(20.0, 15674.0)	(21.0, 49478.0)	(22.0, 88508.0)	(23.0, 142389.0)	(24.0, 182391.0)	(25.0, 216037.0)	(26.0, 262217.0)	(27.0, 333612.0)	(28.0, 440375.0)	(29.0, 575261.0)	(30.0, 748831.0)	(31.0, 999028.0)	(32.0, 1432703.0)	(33.0, 2570941.0)	(34.0, 8560067.0)	(35.0, 34931634.0)		
RIBO-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	(15.0, 1.0)	(16.0, 0.0)	(17.0, 3.0)	(18.0, 33.0)	(19.0, 154.0)	(20.0, 666.0)	(21.0, 2581.0)	(22.0, 8144.0)	(23.0, 18273.0)	(24.0, 34285.0)	(25.0, 66067.0)	(26.0, 139306.0)	(27.0, 288259.0)	(28.0, 457855.0)	(29.0, 640965.0)	(30.0, 789198.0)	(31.0, 1014724.0)	(32.0, 1416424.0)	(33.0, 2482604.0)	(34.0, 8240786.0)	(35.0, 35950866.0)	
RIBO-HELA-R1.2-filtered.unmapped.fastq.gz	(18.0, 17.0)	(19.0, 100.0)	(20.0, 526.0)	(21.0, 2324.0)	(22.0, 7675.0)	(23.0, 17517.0)	(24.0, 32977.0)	(25.0, 64036.0)	(26.0, 136289.0)	(27.0, 283988.0)	(28.0, 452039.0)	(29.0, 633621.0)	(30.0, 779804.0)	(31.0, 1000527.0)	(32.0, 1393610.0)	(33.0, 2444637.0)	(34.0, 8192674.0)	(35.0, 35928044.0)				
RIBO-HELA-R2.0-raw.fastq	(15.0, 3.0)	(16.0, 15.0)	(17.0, 69.0)	(18.0, 187.0)	(19.0, 2083.0)	(20.0, 19233.0)	(21.0, 62681.0)	(22.0, 115778.0)	(23.0, 134066.0)	(24.0, 154937.0)	(25.0, 180624.0)	(26.0, 228546.0)	(27.0, 298286.0)	(28.0, 396643.0)	(29.0, 522893.0)	(30.0, 692836.0)	(31.0, 945401.0)	(32.0, 1401482.0)	(33.0, 2522756.0)	(34.0, 7149823.0)	(35.0, 28466721.0)	
RIBO-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz	(16.0, 1.0)	(17.0, 4.0)	(18.0, 28.0)	(19.0, 102.0)	(20.0, 407.0)	(21.0, 1561.0)	(22.0, 4948.0)	(23.0, 12264.0)	(24.0, 26316.0)	(25.0, 54206.0)	(26.0, 120348.0)	(27.0, 246782.0)	(28.0, 388074.0)	(29.0, 544005.0)	(30.0, 706650.0)	(31.0, 955179.0)	(32.0, 1386913.0)	(33.0, 2457047.0)	(34.0, 6913198.0)	(35.0, 29477030.0)		
RIBO-HELA-R2.2-filtered.unmapped.fastq.gz	(17.0, 1.0)	(18.0, 10.0)	(19.0, 60.0)	(20.0, 300.0)	(21.0, 1372.0)	(22.0, 4623.0)	(23.0, 11652.0)	(24.0, 25263.0)	(25.0, 52293.0)	(26.0, 117262.0)	(27.0, 242214.0)	(28.0, 381689.0)	(29.0, 536061.0)	(30.0, 695138.0)	(31.0, 937050.0)	(32.0, 1353833.0)	(33.0, 2390783.0)	(34.0, 6819926.0)	(35.0, 29434771.0)			
RIBO-HELA-R3.0-raw.fastq	(15.0, 2.0)	(16.0, 26.0)	(17.0, 51.0)	(18.0, 116.0)	(19.0, 1519.0)	(20.0, 14315.0)	(21.0, 50297.0)	(22.0, 96360.0)	(23.0, 113406.0)	(24.0, 129986.0)	(25.0, 150784.0)	(26.0, 192203.0)	(27.0, 262173.0)	(28.0, 357995.0)	(29.0, 481027.0)	(30.0, 641518.0)	(31.0, 870602.0)	(32.0, 1249317.0)	(33.0, 2163857.0)	(34.0, 7022356.0)	(35.0, 28239721.0)	
RIBO-HELA-R3.1-trimmed.SE.paired.trim.fastq.gz	(16.0, 1.0)	(17.0, 4.0)	(18.0, 22.0)	(19.0, 76.0)	(20.0, 312.0)	(21.0, 1257.0)	(22.0, 4002.0)	(23.0, 9761.0)	(24.0, 21585.0)	(25.0, 47210.0)	(26.0, 105196.0)	(27.0, 218018.0)	(28.0, 370119.0)	(29.0, 505244.0)	(30.0, 656888.0)	(31.0, 884857.0)	(32.0, 1250515.0)	(33.0, 2113002.0)	(34.0, 6639164.0)	(35.0, 29210398.0)		
RIBO-HELA-R3.2-filtered.unmapped.fastq.gz	(16.0, 1.0)	(17.0, 0.0)	(18.0, 6.0)	(19.0, 51.0)	(20.0, 258.0)	(21.0, 1106.0)	(22.0, 3762.0)	(23.0, 9346.0)	(24.0, 20723.0)	(25.0, 45611.0)	(26.0, 102285.0)	(27.0, 213630.0)	(28.0, 364033.0)	(29.0, 497629.0)	(30.0, 646640.0)	(31.0, 869283.0)	(32.0, 1222754.0)	(33.0, 2058294.0)	(34.0, 6559056.0)	(35.0, 29171160.0)		
RIBO-RRNA-KO-R1.0-raw.fastq	(15.0, 1.0)	(16.0, 29.0)	(17.0, 52.0)	(18.0, 131.0)	(19.0, 768.0)	(20.0, 5353.0)	(21.0, 18588.0)	(22.0, 46785.0)	(23.0, 88493.0)	(24.0, 120673.0)	(25.0, 168376.0)	(26.0, 241244.0)	(27.0, 339793.0)	(28.0, 459896.0)	(29.0, 619220.0)	(30.0, 828460.0)	(31.0, 1125649.0)	(32.0, 1619389.0)	(33.0, 2768868.0)	(34.0, 8031096.0)	(35.0, 37880394.0)	
