Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
RIBO-HELA-R1.0-raw.fastq	(1.0, 6.173692040054317)	(2.0, 3.6975482423294554)	(3.0, 2.43516647178602)	(4.0, 1.5251371055948535)	(5.0, 1.0032190819539348)	(6.0, 0.7308041407617493)	(7.0, 0.5884073998401264)	(8.0, 0.48122132973014775)	(9.0, 0.4287930016458742)	('>10', 5.336026526490607)	('>50', 1.9210994368286067)	('>100', 4.5106787954495)	('>500', 2.1710147212940334)	('>1k', 6.658063698059596)	('>5k', 4.263012203727148)	('>10k+', 58.076115804454034)
RIBO-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	(1.0, 5.962452970587354)	(2.0, 3.6863511651750316)	(3.0, 2.4227451655382923)	(4.0, 1.5234744433518113)	(5.0, 1.0028080382149318)	(6.0, 0.7253374635346227)	(7.0, 0.5929710923803236)	(8.0, 0.4826130066104481)	(9.0, 0.4246511134720155)	('>10', 5.362072695071401)	('>50', 1.9280443727467793)	('>100', 4.542326845042691)	('>500', 2.192040762833902)	('>1k', 6.716909929918735)	('>5k', 4.404405739262235)	('>10k+', 58.03079519625931)
RIBO-HELA-R1.2-filtered.unmapped.fastq.gz	(1.0, 5.945048738801371)	(2.0, 3.69192048200409)	(3.0, 2.422893702899648)	(4.0, 1.528579826783629)	(5.0, 1.0020025783827153)	(6.0, 0.7264089932951853)	(7.0, 0.5916175605932225)	(8.0, 0.4825499541517644)	(9.0, 0.4230780773513641)	('>10', 5.352659079299428)	('>50', 1.9203646246155865)	('>100', 4.523433919158718)	('>500', 2.187915286128015)	('>1k', 6.711323151021614)	('>5k', 4.282436963517572)	('>10k+', 58.20776706199603)
RIBO-HELA-R2.0-raw.fastq	(1.0, 7.1872215442986)	(2.0, 4.100314288893967)	(3.0, 2.4596760321995292)	(4.0, 1.468846995020486)	(5.0, 0.9648261389978785)	(6.0, 0.7069081259412866)	(7.0, 0.5488705150016535)	(8.0, 0.46850345319669845)	(9.0, 0.40858268222872485)	('>10', 5.699135613251452)	('>50', 2.361148953282233)	('>100', 6.031821366967212)	('>500', 3.0450226389438635)	('>1k', 8.067976562305947)	('>5k', 4.228536784546869)	('>10k+', 52.252608304923555)
RIBO-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz	(1.0, 6.86611768953997)	(2.0, 4.065848001892118)	(3.0, 2.4494064787346024)	(4.0, 1.4605300195336781)	(5.0, 0.96005213951807)	(6.0, 0.6992890648891631)	(7.0, 0.5452215211176906)	(8.0, 0.4710235645476109)	(9.0, 0.4104877004637052)	('>10', 5.69181735504622)	('>50', 2.3706707720035767)	('>100', 6.076557715936943)	('>500', 3.077092463523947)	('>1k', 8.154299971094247)	('>5k', 4.28198362196438)	('>10k+', 52.41960192019401)
RIBO-HELA-R2.2-filtered.unmapped.fastq.gz	(1.0, 6.866866581508399)	(2.0, 4.0802679466647644)	(3.0, 2.4596733756461417)	(4.0, 1.4635627937900566)	(5.0, 0.9628013934499959)	(6.0, 0.6995563918765191)	(7.0, 0.5446932145714484)	(8.0, 0.4699475741622146)	(9.0, 0.4112269080479989)	('>10', 5.685559603008204)	('>50', 2.361372320660983)	('>100', 6.066342553405125)	('>500', 3.074044913145695)	('>1k', 8.151183528343461)	('>5k', 4.263342002401909)	('>10k+', 52.43955889931707)
RIBO-HELA-R3.0-raw.fastq	(1.0, 4.658395595853942)	(2.0, 3.1337530987510664)	(3.0, 3.0689374328339154)	(4.0, 2.45739563029877)	(5.0, 1.8011099743269767)	(6.0, 1.248072065174541)	(7.0, 0.889332439066442)	(8.0, 0.6642669706744561)	(9.0, 0.5445983136851046)	('>10', 6.4426075347361405)	('>50', 2.5922220304033514)	('>100', 6.390344054382137)	('>500', 3.171631640251777)	('>1k', 8.485425821778179)	('>5k', 4.154690599842552)	('>10k+', 50.29721679794063)
RIBO-HELA-R3.1-trimmed.SE.paired.trim.fastq.gz	(1.0, 4.427944144830953)	(2.0, 3.1121766971160927)	(3.0, 3.0612873580383946)	(4.0, 2.4494766496191733)	(5.0, 1.7828857959421647)	(6.0, 1.2446909785394775)	(7.0, 0.8830356676241201)	(8.0, 0.6594534036040779)	(9.0, 0.5407613069841478)	('>10', 6.429922902119458)	('>50', 2.6013643054209226)	('>100', 6.403723482977558)	('>500', 3.2084392214671147)	('>1k', 8.555334234987935)	('>5k', 4.169334544047165)	('>10k+', 50.47016930668122)
RIBO-HELA-R3.2-filtered.unmapped.fastq.gz	(1.0, 4.400868854198765)	(2.0, 3.1223104051669717)	(3.0, 3.07008568553092)	(4.0, 2.457410234337083)	(5.0, 1.7893434821333285)	(6.0, 1.2476730174613728)	(7.0, 0.887275659816405)	(8.0, 0.6589537957627736)	(9.0, 0.5412983262504178)	('>10', 6.430396008990995)	('>50', 2.590659129249012)	('>100', 6.402561367120738)	('>500', 3.1969568063789042)	('>1k', 8.548021499690877)	('>5k', 4.146094072348895)	('>10k+', 50.51009165556245)
RIBO-RRNA-KO-R1.0-raw.fastq	(1.0, 5.290916700330425)	(2.0, 2.331647756363181)	(3.0, 1.2183047179076396)	(4.0, 0.7612898956551861)	(5.0, 0.548382834105642)	(6.0, 0.4301867478412004)	(7.0, 0.3553056803699922)	(8.0, 0.3109732049372862)	(9.0, 0.2634640887869828)	('>10', 3.8147331107825226)	('>50', 1.6674772261947042)	('>100', 4.743803845048408)	('>500', 2.5533201916819745)	('>1k', 7.664274443709812)	('>5k', 3.752722910790486)	('>10k+', 64.29319664549455)
RIBO-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz	(1.0, 5.191977935748613)	(2.0, 2.324672113513721)	(3.0, 1.2146904603129833)	(4.0, 0.7599827712985089)	(5.0, 0.5454881428653204)	(6.0, 0.42979987090739963)	(7.0, 0.3581904527269334)	(8.0, 0.309849508340788)	(9.0, 0.2618020389862601)	('>10', 3.8238111215525596)	('>50', 1.6774237898018605)	('>100', 4.774930576685884)	('>500', 2.574139266909109)	('>1k', 7.744666761147448)	('>5k', 3.7814459934476115)	('>10k+', 64.227129195755)
RIBO-RRNA-KO-R1.2-filtered.unmapped.fastq.gz	(1.0, 5.161428493255938)	(2.0, 2.322945942817011)	(3.0, 1.2120473068561306)	(4.0, 0.7601353534289874)	(5.0, 0.5440467893222886)	(6.0, 0.42930870993372555)	(7.0, 0.35805622630730144)	(8.0, 0.30976688954515785)	(9.0, 0.26002293050071057)	('>10', 3.809076144628775)	('>50', 1.673274066354569)	('>100', 4.753975268512646)	('>500', 2.5621519736054)	('>1k', 7.670067162428909)	('>5k', 3.769531670881542)	('>10k+', 64.4041650716209)
RIBO-RRNA-KO-R2.0-raw.fastq	(1.0, 6.734991197547763)	(2.0, 3.174969913152672)	(3.0, 1.7614124109995435)	(4.0, 1.124544818533508)	(5.0, 0.7969496547089614)	(6.0, 0.6047782980188698)	(7.0, 0.5027247783340602)	(8.0, 0.4210851724881647)	(9.0, 0.37722617850759727)	('>10', 5.732479667190322)	('>50', 2.7023326180832377)	('>100', 7.476784530843686)	('>500', 3.961796196164274)	('>1k', 11.260574259326889)	('>5k', 5.251849890750497)	('>10k+', 48.11550041534992)
