Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
RIBO-HELA-R1.0-raw.fastq	(76, 51551194.0)																												
RIBO-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	(22, 13.0)	(24, 13.0)	(26, 0.0)	(28, 37981.0)	(30, 34248.0)	(32, 42049.0)	(34, 55173.0)	(36, 99995.0)	(38, 55694.0)	(40, 80135.0)	(42, 42342.0)	(44, 36999.0)	(46, 39785.0)	(48, 55889.0)	(50, 69341.0)	(52, 93366.0)	(54, 76777.0)	(56, 64562.0)	(58, 64792.0)	(60, 88042.0)	(62, 97409.0)	(64, 186432.0)	(66, 208684.0)	(68, 368650.0)	(70, 785616.0)	(72, 1299174.0)	(74, 4357809.0)	(76, 43210224.0)	
RIBO-HELA-R1.2-filtered.unmapped.fastq.gz	(22, 8.0)	(24, 8.0)	(26, 0.0)	(28, 7905.0)	(30, 6373.0)	(32, 12428.0)	(34, 42592.0)	(36, 77816.0)	(38, 33555.0)	(40, 60038.0)	(42, 38082.0)	(44, 34526.0)	(46, 37500.0)	(48, 53389.0)	(50, 68624.0)	(52, 92601.0)	(54, 76005.0)	(56, 64341.0)	(58, 64660.0)	(60, 87877.0)	(62, 97329.0)	(64, 186309.0)	(66, 208616.0)	(68, 368589.0)	(70, 785578.0)	(72, 1299140.0)	(74, 4357706.0)	(76, 43208810.0)	
RIBO-HELA-R2.0-raw.fastq	(76, 43295063.0)																												
RIBO-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz	(22, 10.0)	(24, 12.0)	(26, 0.0)	(28, 46492.0)	(30, 53384.0)	(32, 63518.0)	(34, 42948.0)	(36, 105048.0)	(38, 63113.0)	(40, 72913.0)	(42, 49826.0)	(44, 37678.0)	(46, 37518.0)	(48, 50375.0)	(50, 55127.0)	(52, 83727.0)	(54, 69286.0)	(56, 70073.0)	(58, 60953.0)	(60, 77549.0)	(62, 89002.0)	(64, 160383.0)	(66, 190588.0)	(68, 306222.0)	(70, 621061.0)	(72, 1091376.0)	(74, 4888577.0)	(76, 34908304.0)	
RIBO-HELA-R2.2-filtered.unmapped.fastq.gz	(22, 5.0)	(24, 6.0)	(26, 0.0)	(28, 5179.0)	(30, 4592.0)	(32, 8342.0)	(34, 19892.0)	(36, 65462.0)	(38, 22310.0)	(40, 52085.0)	(42, 43927.0)	(44, 34347.0)	(46, 33584.0)	(48, 47136.0)	(50, 53955.0)	(52, 82614.0)	(54, 68498.0)	(56, 69697.0)	(58, 60743.0)	(60, 77275.0)	(62, 88830.0)	(64, 160223.0)	(66, 190499.0)	(68, 306157.0)	(70, 621041.0)	(72, 1091366.0)	(74, 4888552.0)	(76, 34907984.0)	
RIBO-HELA-R3.0-raw.fastq	(76, 42037631.0)																												
RIBO-HELA-R3.1-trimmed.SE.paired.trim.fastq.gz	(22, 6.0)	(24, 8.0)	(26, 0.0)	(28, 38237.0)	(30, 45105.0)	(32, 52917.0)	(34, 29988.0)	(36, 92742.0)	(38, 60766.0)	(40, 41714.0)	(42, 31580.0)	(44, 24498.0)	(46, 29294.0)	(48, 31444.0)	(50, 43514.0)	(52, 63035.0)	(54, 54690.0)	(56, 50651.0)	(58, 43279.0)	(60, 60618.0)	(62, 60529.0)	(64, 114108.0)	(66, 127263.0)	(68, 254320.0)	(70, 535475.0)	(72, 1041746.0)	(74, 4096220.0)	(76, 35013884.0)	
RIBO-HELA-R3.2-filtered.unmapped.fastq.gz	(22, 3.0)	(24, 4.0)	(26, 0.0)	(28, 3689.0)	(30, 3655.0)	(32, 6684.0)	(34, 11708.0)	(36, 59998.0)	(38, 23215.0)	(40, 24339.0)	(42, 25729.0)	(44, 21075.0)	(46, 25233.0)	(48, 27800.0)	(50, 42108.0)	(52, 61710.0)	(54, 53693.0)	(56, 50177.0)	(58, 42982.0)	(60, 60257.0)	(62, 60277.0)	(64, 113862.0)	(66, 127113.0)	(68, 254225.0)	(70, 535436.0)	(72, 1041720.0)	(74, 4096151.0)	(76, 35012785.0)	
RIBO-RRNA-KO-R1.0-raw.fastq	(76, 54363258.0)																												
