Sample	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias	bowtie_2_hisat2-overall_alignment_rate	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
RIBO-HELA-R1	0.017665813613889164	0.009075	U	100.0	0.5692605747497578							
RIBO-HELA-R1.0-raw.fastq							89.93038747515627	52.0	76.0	76	50.0	51.551193999999995
RIBO-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz							90.15064621151792	52.0	75.35914886859847	76	50.0	51.551193999999995
RIBO-HELA-R1.2-filtered.unmapped.fastq.gz							90.16494797734794	52.0	75.49997152056714	76	50.0	51.370405
RIBO-HELA-R1.bowtie2.log						0.35						
RIBO-HELA-R2	0.020070085547954843	0.008631	U	100.0	0.5022029897718332							
RIBO-HELA-R2.0-raw.fastq							88.71530756417482	53.0	76.0	76	50.0	43.295063
RIBO-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz							89.06196075578961	53.0	75.15920744820258	76	50.0	43.295063
RIBO-HELA-R2.2-filtered.unmapped.fastq.gz							89.04972496093897	53.0	75.4319724089923	76	50.0	43.004301
RIBO-HELA-R2.bowtie2.log						0.67						
RIBO-HELA-R3	0.01835320029173667	0.007669	U	100.0	0.5052392595179881							
RIBO-HELA-R3.0-raw.fastq							90.87771174749639	55.0	76.0	76	50.0	42.037631
RIBO-HELA-R3.1-trimmed.SE.paired.trim.fastq.gz							91.1302744903647	55.0	75.39761461581887	76	50.0	42.037631
RIBO-HELA-R3.2-filtered.unmapped.fastq.gz							91.14507097886049	55.0	75.6394254981641	76	50.0	41.785627999999996
RIBO-HELA-R3.bowtie2.log						0.6						
RIBO-RRNA-KO-R1	0.00905622495183127	0.004909	U	100.0	0.4744941578797378							
RIBO-RRNA-KO-R1.0-raw.fastq							92.39516681074552	58.0	76.0	76	50.0	54.363257999999995
RIBO-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz							92.49912576697149	58.0	75.64733101537071	76	50.0	54.363257999999995
RIBO-RRNA-KO-R1.2-filtered.unmapped.fastq.gz							92.53295717685832	58.0	75.75345639615857	76	50.0	54.205808999999995
RIBO-RRNA-KO-R1.bowtie2.log						0.29						
RIBO-RRNA-KO-R2	0.010845216242460907	0.0054269999999999995	U	100.0	0.47084680025856496							
RIBO-RRNA-KO-R2.0-raw.fastq							90.00559304583224	55.0	76.0	76	50.0	50.180944
RIBO-RRNA-KO-R2.1-trimmed.SE.paired.trim.fastq.gz							90.11731531965845	55.0	75.72695615291732	76	50.0	50.180944
RIBO-RRNA-KO-R2.2-filtered.unmapped.fastq.gz							90.13874951273212	55.0	75.83320373163367	76	50.0	50.040496
RIBO-RRNA-KO-R2.bowtie2.log						0.28						
RIBO-RRNA-KO-R3	0.009787533967364695	0.004373	U	100.0	0.47252396166134186							
RIBO-RRNA-KO-R3.0-raw.fastq							89.91098919644831	55.0	76.0	76	50.0	44.792721
RIBO-RRNA-KO-R3.1-trimmed.SE.paired.trim.fastq.gz							89.9997770028884	55.0	75.40310293942625	76	50.0	44.792721
RIBO-RRNA-KO-R3.2-filtered.unmapped.fastq.gz							90.02891967639295	55.0	75.50006604850843	76	50.0	44.679283
RIBO-RRNA-KO-R3.bowtie2.log						0.25						
RNA-HELA-R1	16.608848082579573	10.701029	SF	100.0	0.9999085158732903							
RNA-HELA-R1.0-raw.fastq							75.28543076211476	48.0	76.0	76	50.0	64.429688
RNA-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz							75.35590617550922	48.0	75.41170194708998	76	50.0	64.429688
RNA-HELA-R2	17.06031462040487	11.241541	SF	100.0	0.9998510918198616							
RNA-HELA-R2.0-raw.fastq							76.29183621701519	48.0	76.0	76	50.0	65.892929
RNA-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz							76.32497033310946	48.0	75.30889629295429	76	50.0	65.892929
RNA-HELA-R3	21.130254084533657	14.402546	SF	100.0	0.9999327905849053							
RNA-HELA-R3.0-raw.fastq							74.97228569078919	49.0	76.0	76	40.0	68.16078
RNA-HELA-R3.1-trimmed.SE.paired.trim.fastq.gz							74.96934077469221	49.0	75.80642272579627	76	40.0	68.16078
RNA-RRNA-KO-R1	20.403179623728345	11.677928999999999	SF	100.0	0.9999352640460536							
RNA-RRNA-KO-R1.0-raw.fastq							77.37198159063405	50.0	76.0	76	50.0	57.235828999999995
RNA-RRNA-KO-R1.1-trimmed.SE.paired.trim.fastq.gz							77.36296654208438	50.0	75.84216132346052	76	50.0	57.235828999999995
RNA-RRNA-KO-R2	19.06215306859395	11.634608	SF	100.0	0.9999358823177528							
RNA-RRNA-KO-R2.0-raw.fastq							73.06572237004272	49.0	76.0	76	50.0	61.03512
RNA-RRNA-KO-R2.1-trimmed.SE.paired.trim.fastq.gz							73.06333526102583	49.0	75.82254927982447	76	50.0	61.03512
RNA-RRNA-KO-R3	13.952341339640483	8.177508	SF	100.0	0.9999113455447407							
RNA-RRNA-KO-R3.0-raw.fastq							82.00323988538301	50.0	76.0	76	50.0	58.610291999999994
RNA-RRNA-KO-R3.1-trimmed.SE.paired.trim.fastq.gz							82.00226373195059	50.0	75.89239064019678	76	50.0	58.610291999999994
