Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
RIBO-HELA-R1	1.10.3	none	vb	[]	1	['U']	1001	30.00001764552942	5.009463119009378	True	True	4096	mapping	False	99445	0	3211	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	51370405	9075	0	0	51154965	1026794708	0.017665813613889164	quant	Mon Oct 20 01:27:50 2025	Mon Oct 20 01:39:31 2025
RIBO-HELA-R2	1.10.3	none	vb	[]	1	['U']	1001	30.00001764552942	5.009463119009378	True	True	4096	mapping	False	99445	0	3209	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	43004301	8631	0	0	42775874	658538720	0.020070085547954843	quant	Mon Oct 20 02:24:51 2025	Mon Oct 20 02:32:38 2025
RIBO-HELA-R3	1.10.3	none	vb	[]	1	['U']	1001	30.00001764552942	5.009463119009378	True	True	4096	mapping	False	99445	0	2831	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	41785628	7669	0	0	41571894	619490757	0.01835320029173667	quant	Mon Oct 20 02:49:13 2025	Mon Oct 20 02:57:06 2025
RIBO-RRNA-KO-R1	1.10.3	none	vb	[]	1	['U']	1001	30.00001764552942	5.009463119009378	True	True	4096	mapping	False	99445	0	1707	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	54205809	4909	0	0	54009778	700871614	0.00905622495183127	quant	Mon Oct 20 02:15:32 2025	Mon Oct 20 02:24:50 2025
RIBO-RRNA-KO-R2	1.10.3	none	vb	[]	1	['U']	1001	30.00001764552942	5.009463119009378	True	True	4096	mapping	False	99445	0	1896	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	50040496	5427	0	0	49691882	703981439	0.010845216242460907	quant	Mon Oct 20 01:39:32 2025	Mon Oct 20 01:48:20 2025
RIBO-RRNA-KO-R3	1.10.3	none	vb	[]	1	['U']	1001	30.00001764552942	5.009463119009378	True	True	4096	mapping	False	99445	0	1575	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	44679283	4373	0	0	44452537	745891902	0.009787533967364695	quant	Mon Oct 20 02:06:26 2025	Mon Oct 20 02:15:31 2025
RNA-HELA-R1	1.10.3	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	True	True	4096	mapping	False	99445	0	225702	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	64429688	10701029	0	0	52265505	1177392407	16.608848082579573	quant	Mon Oct 20 03:16:36 2025	Mon Oct 20 03:35:45 2025
RNA-HELA-R2	1.10.3	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	True	True	4096	mapping	False	99445	0	234706	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	65892929	11241541	0	0	51295838	1054911113	17.06031462040487	quant	Mon Oct 20 02:57:07 2025	Mon Oct 20 03:16:35 2025
RNA-HELA-R3	1.10.3	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	True	True	4096	mapping	False	99445	0	240579	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	68160780	14402546	0	0	50798088	970419095	21.130254084533657	quant	Mon Oct 20 01:07:10 2025	Mon Oct 20 01:27:48 2025
RNA-RRNA-KO-R1	1.10.3	none	vb	[]	1	['SF']	1001	250.0000097391447	25.001769513739426	True	True	4096	mapping	False	99445	0	213793	False	['range_factorized', 'gzipped']	[614, 1025, 1947, 3289, 109224]	b6b4943a9bc8c657f929c24a502eb3ee1839fa0d868af75f6971a4c8cd1516b1	ad4c732d6d60a61d789ffb7df7901ddfcb87fafca61122160038f4b9749558ef	11da95aeb2831ab23b0f2a5f9069d74278e137b0018241e890bc0e1d73610e88be3a25624b5e4ec3e87174cf8d54963c5bdea0e494ee886331534dfd57dcf5bf	e021bb8810c007e2cde2c78a26593cb67c59f9599b1754282e0cc30489a00c9fb76ba79da5edd53c9cfc398da06bbf1ae0aecb94de7da9f6e644040fd45f69b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	57235829	11677929	0	0	44184145	782017887	20.403179623728345	quant	Mon Oct 20 02:32:39 2025	Mon Oct 20 02:49:11 2025
