Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
RIBO-HELA-R1.0-raw.fastq	(1, 0.014831858210694401)	(2, 0.0008011453624139142)	(3, 4.4615843427409266e-05)	(4, 9.699096397262885e-06)	(5, 0.00014160680740003812)	(6, 0.015105372729097215)	(7, 0.0010261643988304131)	(8, 0.0001590651809151113)	(9, 0.0012531232545263647)	(10, 0.0019553378336881976)	(12, 0.000837032019083787)	(14, 0.00034819756066173754)	(16, 0.00013966698812058553)	(18, 1.3578734956168037e-05)	(20, 0.0)	(22, 6.789367478084019e-06)	(24, 5.8194578383577305e-06)	(26, 2.5217650632883496e-05)	(28, 1.1638915676715461e-05)	(30, 0.00014742626523839584)	(32, 1.745837351507319e-05)	(34, 4.364593378768298e-05)	(36, 6.789367478084018e-05)	(38, 0.0001425767170397644)	(40, 0.00011444933748770204)	(42, 0.00011347942784797575)	(44, 5.91644880233036e-05)	(46, 7.274322297947163e-05)	(48, 0.00012802807244387005)	(50, 0.00019010228938635254)	(52, 8.729186757536596e-05)	(54, 5.8194578383577305e-05)	(56, 0.0001338475302822278)	(58, 6.789367478084018e-05)	(60, 6.886358442056647e-05)	(62, 0.00012899798208359636)	(64, 0.00022307921713704635)	(66, 7.274322297947163e-05)	(68, 6.789367478084019e-06)	(70, 1.6488463875346902e-05)	(72, 1.6488463875346902e-05)	(74, 4.8495481986314415e-05)	(76, 0.0001590651809151113)
RIBO-HELA-R1.1-trimmed.SE.paired.trim.fastq.gz	(1, 0.015705816316141402)	(2, 0.0008973799042145364)	(3, 6.338371070660294e-05)	(4, 6.671969548063468e-06)	(5, 0.00017013522347561843)	(6, 0.013961096279322807)	(7, 0.0008606840717001874)	(8, 0.00010007954322095201)	(9, 0.001127562853622726)	(10, 0.0017947598084290728)	(12, 0.0007455925969960924)	(14, 0.00032859450024212575)	(16, 0.00012343143663917416)	(18, 1.3365959864127668e-05)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
RIBO-HELA-R1.2-filtered.unmapped.fastq.gz	(1, 0.015446347030056281)	(2, 0.0007594074252731702)	(3, 4.556444551639021e-05)	(4, 7.594074252731702e-06)	(5, 0.00018985185631829256)	(6, 0.013965502550773602)	(7, 0.0008733185390641458)	(8, 8.353481678004874e-05)	(9, 0.001253022251700731)	(10, 0.001936488934446584)	(12, 0.0008087689079159263)	(14, 0.0003417333413729266)	(16, 0.00016706963356009747)	(18, 1.5219474718093473e-05)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
RIBO-HELA-R2.0-raw.fastq	(1, 0.015040975919125005)	(2, 0.0009146539410278719)	(3, 6.236276870644581e-05)	(4, 4.619464348625615e-06)	(5, 0.00016168125220189655)	(6, 0.014821551362565287)	(7, 0.0009469901914682513)	(8, 0.00014089366263308128)	(9, 0.0012588040350004802)	(10, 0.0017831132385694877)	(12, 0.0007610567514360702)	(14, 0.0003141235757065419)	(16, 0.00012703526958720443)	(18, 2.1942455655971675e-05)	(20, 0.0)	(22, 4.619464348625615e-06)	(24, 6.929196522938424e-06)	(26, 3.349111652753572e-05)	(28, 1.9632723481658867e-05)	(30, 0.00015244232350464533)	(32, 2.0787589568815273e-05)	(34, 4.388491131194335e-05)	(36, 7.968576001379187e-05)	(38, 0.00012241580523857882)	(40, 0.00012934500176151723)	(42, 0.00011433174262848399)	(44, 6.120790261928941e-05)	(46, 6.813709914222782e-05)	(48, 0.00013280960002298646)	(50, 0.00018477857394502462)	(52, 7.968576001379187e-05)	(54, 6.813709914222782e-05)	(56, 0.00012703526958720443)	(58, 7.160169740369704e-05)	(60, 9.585388523398154e-05)	(62, 0.00012819013567436083)	(64, 0.0002413670122156884)	(66, 6.698223305507143e-05)	(68, 1.2703526958720444e-05)	(70, 9.23892869725123e-06)	(72, 1.9632723481658867e-05)	(74, 6.005303653213301e-05)	(76, 0.00013858393045876848)
RIBO-HELA-R2.1-trimmed.SE.paired.trim.fastq.gz	(1, 0.015795395804832992)	(2, 0.0009543573138815495)	(3, 5.9451767094260464e-05)	(4, 6.25808074676426e-06)	(5, 0.00018148434165616352)	(6, 0.013758390521761225)	(7, 0.0008135504970793537)	(8, 0.00012203257456190306)	(9, 0.0011327126151643308)	(10, 0.0015911170298648128)	(12, 0.0007212438060645809)	(14, 0.00029100075472453805)	(16, 0.00012985517549535838)	(18, 2.5059748705851926e-05)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
RIBO-HELA-R2.2-filtered.unmapped.fastq.gz	(1, 0.015534605017206675)	(2, 0.0009230306011412167)	(3, 4.6151530057060824e-05)	(4, 1.8460612022824333e-05)	(5, 0.0001846061202282433)	(6, 0.01432543492971168)	(7, 0.0009138002951298045)	(8, 0.00010153336612553381)	(9, 0.0012645519235634666)	(10, 0.0017122217651169569)	(12, 0.0007476547869243854)	(14, 0.0003184455573937197)	(16, 0.00014306974317688858)	(18, 3.697086603329411e-05)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
RIBO-HELA-R3.0-raw.fastq	(1, 0.015728764544319825)	(2, 0.0008278297128589381)	(3, 6.184934636302411e-05)	(4, 1.189410506981233e-05)	(5, 0.00015224454489359783)	(6, 0.013742448997661166)	(7, 0.0009919683628223483)	(8, 0.0001189410506981233)	(9, 0.0012798057055118067)	(10, 0.0018209874861882676)	(12, 0.000750518029905158)	(14, 0.0002759432376196461)	(16, 0.00011061517714925468)	(18, 1.546233659075603e-05)	(20, 0.0)	(22, 3.5682315209436997e-06)	(24, 3.5682315209436997e-06)	(26, 1.903056811169973e-05)	(28, 1.189410506981233e-05)	(30, 0.00014986572387963538)	(32, 1.6651747097737262e-05)	(34, 4.4008188758305626e-05)	(36, 7.612227244679891e-05)	(38, 0.00014153985033076672)	(40, 0.00010585753512132975)	(42, 0.00011061517714925468)	(44, 6.303875687000535e-05)	(46, 6.541757788396782e-05)	(48, 0.000122509282219067)	(50, 0.00020576801770775334)	(52, 8.920578802359248e-05)	(54, 4.995524129321178e-05)	(56, 0.00012369869272604823)	(58, 6.184934636302411e-05)	(60, 7.1364630418874e-05)	(62, 0.0001248881032330295)	(64, 0.0002236091753124718)	(66, 8.444814599566754e-05)	(68, 8.325873548868631e-06)	(70, 2.497762064660589e-05)	(72, 1.78411576047185e-05)	(74, 4.757642027924932e-05)	(76, 0.0001546233659075603)
RIBO-HELA-R3.1-trimmed.SE.paired.trim.fastq.gz	(1, 0.016283681523787397)	(2, 0.0009191165488497118)	(3, 7.352932390797694e-05)	(4, 1.53186091474952e-05)	(5, 0.00015931353513395005)	(6, 0.013124984317573885)	(7, 0.0009160528270202127)	(8, 0.00010416654220296736)	(9, 0.0011366407987441435)	(10, 0.0016988337544572175)	(12, 0.0006862736898077848)	(14, 0.0002665437991664164)	(16, 0.00010723026403246638)	(18, 1.2267360246858545e-05)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
RIBO-HELA-R3.2-filtered.unmapped.fastq.gz	(1, 0.016865064138405352)	(2, 0.0007948323835543149)	(3, 2.7408013226010862e-05)	(4, 2.7408013226010862e-05)	(5, 0.00013704006613005432)	(6, 0.013804502661500805)	(7, 0.0010232324937710722)	(8, 9.136004408670288e-05)	(9, 0.0012881766216225104)	(10, 0.0019551049434554414)	(12, 0.0007811283769413095)	(14, 0.0002923521410774492)	(16, 0.00010963205290404345)	(18, 2.2867187694013797e-05)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)
RIBO-RRNA-KO-R1.0-raw.fastq	(1, 0.015672349880134117)	(2, 0.0009491704856982633)	(3, 6.990015204754653e-05)	(4, 1.2876343798232255e-05)	(5, 0.00021337941151356308)	(6, 0.01404809108387139)	(7, 0.0008296044361432496)	(8, 0.00011404761649862854)	(9, 0.0012048578839774465)	(10, 0.0017806143995269747)	(12, 0.0007551055898820486)	(14, 0.0002796006081901861)	(16, 0.00011312787765589767)	(18, 9.197388427308754e-06)	(20, 0.0)	(22, 6.438171899116128e-06)	(24, 1.1036866112770504e-05)	(26, 4.690668097927464e-05)	(28, 3.1271120652849764e-05)	(30, 0.00012876343798232256)	(32, 2.2993471068271882e-05)	(34, 4.2307986765620264e-05)	(36, 9.473310080128015e-05)	(38, 0.00012600422145412992)	(40, 0.00011956604955501379)	(42, 0.0001306029156677843)	(44, 6.254224130569953e-05)	(46, 7.81778016321244e-05)	(48, 0.00015175690905059442)	(50, 0.00020418202308625433)	(52, 8.277649584577878e-05)	(54, 5.7943547092045146e-05)	(56, 0.00015083717020786356)	(58, 8.001727931758615e-05)	(60, 6.71409355193539e-05)	(62, 9.841205617220367e-05)	(64, 0.00022073732225541008)	(66, 7.173962973300828e-05)	(68, 4.598694213654377e-06)	(70, 8.277649584577879e-06)	(72, 2.0234254540079257e-05)	(74, 4.506720329381289e-05)	(76, 0.00011956604955501379)
